type,airport,runway,timestamp,timestamp_iso,lat,lon,track_deg,icao,registration,aircraft_type,description,db_flags
takeoff,LGA,13,1702425639.44,2023-12-13T00:00:39Z,40.776106,-73.869511,146.2,aafca8,N807JB,A320,AIRBUS A-320,0
takeoff,LGA,13,1702425842.76,2023-12-13T00:04:02Z,40.776192,-73.869598,87.2,a55f6c,N445YX,E75L,EMBRAER ERJ-170-200 (long wing),0
landing,LGA,13,1702425972.59,2023-12-13T00:06:12Z,40.776443,-73.869886,149.1,ac2bb9,N88328,E75L,EMBRAER ERJ-170-200 (long wing),0
landing,LGA,13,1702426009.17,2023-12-13T00:06:49Z,40.777188,-73.871509,123.8,c00b9e,C-FEKJ,E75S,EMBRAER ERJ-170-200 (short wing),0
takeoff,LGA,13,1702426069.19,2023-12-13T00:07:49Z,40.775185,-73.867523,129.4,c00b9e,C-FEKJ,E75S,EMBRAER ERJ-170-200 (short wing),0
takeoff,LGA,31,1702426072.04,2023-12-13T00:07:52Z,40.774212,-73.867218,261.6,ac2bb9,N88328,E75L,EMBRAER ERJ-170-200 (long wing),0
landing,LGA,13,1702426230.9,2023-12-13T00:10:30Z,40.776537,-73.869917,165.9,a35701,N314PQ,CRJ9,BOMBARDIER Regional Jet CRJ-900,0
takeoff,LGA,13,1702426232.87,2023-12-13T00:10:32Z,40.776443,-73.869843,149.1,a35701,N314PQ,CRJ9,BOMBARDIER Regional Jet CRJ-900,0
landing,LGA,13,1702426280.76,2023-12-13T00:11:20Z,40.7767,-73.870494,123.8,a51f4a,N429YX,E75L,EMBRAER ERJ-170-200 (long wing),0
landing,LGA,31,1702426344.83,2023-12-13T00:12:24Z,40.776001,-73.869324,267.2,a1239d,N17245,B738,BOEING 737-800,0
takeoff,LGA,31,1702426344.83,2023-12-13T00:12:24Z,40.776001,-73.869324,267.2,a1239d,N17245,B738,BOEING 737-800,0
landing,LGA,13,1702426524.99,2023-12-13T00:15:24Z,40.777712,-73.872788,101.2,aaa593,N78509,B738,BOEING 737-800,0
takeoff,LGA,13,1702426767.21,2023-12-13T00:19:27Z,40.776169,-73.869568,92.8,a566da,N447YX,E75L,EMBRAER ERJ-170-200 (long wing),0
landing,LGA,13,1702427190.33,2023-12-13T00:26:30Z,40.777677,-73.871212,123.8,ac92b1,N909XJ,CRJ9,BOMBARDIER Regional Jet CRJ-900,0
takeoff,LGA,13,1702427190.33,2023-12-13T00:26:30Z,40.777677,-73.871212,123.8,ac92b1,N909XJ,CRJ9,BOMBARDIER Regional Jet CRJ-900,0
landing,LGA,13,1702427326.99,2023-12-13T00:28:46Z,40.778263,-73.872589,104.1,a7d725,N604LR,CRJ9,BOMBARDIER Regional Jet CRJ-900,0
takeoff,LGA,13,1702427326.99,2023-12-13T00:28:46Z,40.778263,-73.872589,104.1,a7d725,N604LR,CRJ9,BOMBARDIER Regional Jet CRJ-900,0
landing,LGA,13,1702427645.97,2023-12-13T00:34:05Z,40.777514,-73.870884,120.9,a32acf,N303DN,A321,AIRBUS A-321,0
takeoff,LGA,13,1702427645.97,2023-12-13T00:34:05Z,40.777514,-73.870884,120.9,a32acf,N303DN,A321,AIRBUS A-321,0
landing,LGA,13,1702427752.76,2023-12-13T00:35:52Z,40.778096,-73.872117,118.1,a5f162,N482PX,CRJ9,BOMBARDIER Regional Jet CRJ-900,0
takeoff,LGA,13,1702427755.82,2023-12-13T00:35:55Z,40.778038,-73.871961,118.1,a5f162,N482PX,CRJ9,BOMBARDIER Regional Jet CRJ-900,0
takeoff,LGA,13,1702427896.83,2023-12-13T00:38:16Z,40.776649,-73.870377,123.8,a4f414,N418YX,E75L,EMBRAER ERJ-170-200 (long wing),0
landing,LGA,22,1702427974.05,2023-12-13T00:39:34Z,40.775162,-73.879181,210.9,acce3f,N924NN,B738,BOEING 737-800,0
takeoff,LGA,22,1702427974.05,2023-12-13T00:39:34Z,40.775162,-73.879181,210.9,acce3f,N924NN,B738,BOEING 737-800,0
takeoff,LGA,13,1702428003.32,2023-12-13T00:40:03Z,40.776329,-73.86972,123.8,a095f0,N137HQ,E75L,EMBRAER ERJ-170-200 (long wing),0
landing,LGA,22,1702428137.29,2023-12-13T00:42:17Z,40.775196,-73.879166,210.9,ac7e15,N904AN,B738,BOEING 737-800,0
landing,LGA,04,1702428466.56,2023-12-13T00:47:46Z,40.774849,-73.877954,33.8,a23fb2,N244JQ,E75L,EMBRAER ERJ-170-200 (long wing),0
takeoff,LGA,04,1702428466.56,2023-12-13T00:47:46Z,40.774849,-73.877954,33.8,a23fb2,N244JQ,E75L,EMBRAER ERJ-170-200 (long wing),0
takeoff,LGA,13,1702428550.94,2023-12-13T00:49:10Z,40.77618,-73.869461,101.2,a01f73,N107HQ,E75L,EMBRAER ERJ-170-200 (long wing),0
landing,LGA,13,1702428723.41,2023-12-13T00:52:03Z,40.776466,-73.869919,151.9,a1a56d,N205JQ,E75L,EMBRAER ERJ-170-200 (long wing),0
takeoff,LGA,13,1702428723.41,2023-12-13T00:52:03Z,40.776466,-73.869919,151.9,a1a56d,N205JQ,E75L,EMBRAER ERJ-170-200 (long wing),0
landing,LGA,13,1702428848.15,2023-12-13T00:54:08Z,40.776816,-73.870759,123.8,c00b7d,C-FEJC,E75S,EMBRAER ERJ-170-200 (short wing),0
takeoff,LGA,13,1702428848.15,2023-12-13T00:54:08Z,40.776816,-73.870759,123.8,c00b7d,C-FEJC,E75S,EMBRAER ERJ-170-200 (short wing),0
landing,LGA,04,1702428903.09,2023-12-13T00:55:03Z,40.778217,-73.874481,67.5,a7bfa0,N599JB,A320,AIRBUS A-320,0
landing,LGA,13,1702429079.05,2023-12-13T00:57:59Z,40.778119,-73.872164,112.5,a15b4c,N187GJ,CRJ9,BOMBARDIER Regional Jet CRJ-900,0
takeoff,LGA,13,1702429136.99,2023-12-13T00:58:56Z,40.775419,-73.869324,118.1,ac045e,N87339,E75L,EMBRAER ERJ-170-200 (long wing),0
takeoff,LGA,13,1702429154.69,2023-12-13T00:59:14Z,40.776203,-73.869476,95.6,aa2e6f,N755US,A319,AIRBUS A-319,0
takeoff,LGA,13,1702429163.87,2023-12-13T00:59:23Z,40.774791,-73.866749,120.9,a15b4c,N187GJ,CRJ9,BOMBARDIER Regional Jet CRJ-900,0
landing,LGA,13,1702429234.04,2023-12-13T01:00:34Z,40.778119,-73.872195,118.1,a6152a,N491PX,CRJ9,BOMBARDIER Regional Jet CRJ-900,0
takeoff,LGA,13,1702429285.81,2023-12-13T01:01:25Z,40.776769,-73.87065,123.8,a6152a,N491PX,CRJ9,BOMBARDIER Regional Jet CRJ-900,0
landing,LGA,04,1702429373.75,2023-12-13T01:02:53Z,40.776455,-73.875769,33.8,ac03ee,N87302,E75L,EMBRAER ERJ-170-200 (long wing),0
landing,LGA,13,1702429460.36,2023-12-13T01:04:20Z,40.778126,-73.872177,118.1,a1b092,N208JQ,E75L,EMBRAER ERJ-170-200 (long wing),0
takeoff,LGA,13,1702429586.29,2023-12-13T01:06:26Z,40.776203,-73.869583,90.0,a4ba02,N403YX,E75L,EMBRAER ERJ-170-200 (long wing),0
takeoff,LGA,13,1702429695.2,2023-12-13T01:08:15Z,40.776752,-73.87059,123.8,a1b092,N208JQ,E75L,EMBRAER ERJ-170-200 (long wing),0
