type,airport,runway,timestamp,timestamp_iso,lat,lon,track_deg,icao,registration,aircraft_type,description,db_flags
takeoff,LGA,13,1683676817.89,2023-05-10T00:00:17Z,40.7772,-73.872242,98.4,a4da13,N411YX,E75L,EMBRAER ERJ-170-200 (long wing),0
takeoff,JFK,31L,1683676829.89,2023-05-10T00:00:29Z,40.634068,-73.78006,272.8,ab967b,N846DN,B739,BOEING 737-900,0
takeoff,LGA,04,1683676842.82,2023-05-10T00:00:42Z,40.774663,-73.878032,36.6,a1ba59,N210JQ,E75L,EMBRAER ERJ-170-200 (long wing),0
takeoff,JFK,22R,1683676844.98,2023-05-10T00:00:44Z,40.644287,-73.770294,239.1,ada227,N978JB,A321,AIRBUS A-321,0
takeoff,JFK,22R,1683676921.98,2023-05-10T00:02:01Z,40.64439,-73.7715,247.5,ad8836,N971JT,A321,AIRBUS A-321,0
landing,JFK,31R,1683677532.97,2023-05-10T00:12:12Z,40.649975,-73.775925,300.9,a52911,N431YX,E75L,EMBRAER ERJ-170-200 (long wing),0
takeoff,JFK,31R,1683677532.97,2023-05-10T00:12:12Z,40.649975,-73.775925,300.9,a52911,N431YX,E75L,EMBRAER ERJ-170-200 (long wing),0
landing,JFK,31L,1683678057.88,2023-05-10T00:20:57Z,40.62933,-73.769226,272.8,a96ba2,N706JB,A320,AIRBUS A-320,0
takeoff,JFK,31L,1683678067.91,2023-05-10T00:21:07Z,40.629456,-73.769928,303.8,a96ba2,N706JB,A320,AIRBUS A-320,0
landing,JFK,04L,1683678544.01,2023-05-10T00:29:04Z,40.635258,-73.771912,30.9,a2c93f,N279PQ,CRJ9,BOMBARDIER Regional Jet CRJ-900,0
takeoff,JFK,04L,1683678545.94,2023-05-10T00:29:05Z,40.635379,-73.771836,28.1,a2c93f,N279PQ,CRJ9,BOMBARDIER Regional Jet CRJ-900,0
landing,JFK,13R,1683679097.6,2023-05-10T00:38:17Z,40.641745,-73.793075,109.7,71c217,HL8217,B77W,BOEING 777-300ER,0
landing,LGA,04,1683679731.86,2023-05-10T00:48:51Z,40.773457,-73.879135,25.3,a15b4c,N187GJ,CRJ9,BOMBARDIER Regional Jet CRJ-900,0
takeoff,LGA,04,1683679740.02,2023-05-10T00:49:00Z,40.773846,-73.878769,30.9,a15b4c,N187GJ,CRJ9,BOMBARDIER Regional Jet CRJ-900,0
landing,JFK,13L,1683679939.88,2023-05-10T00:52:19Z,40.648876,-73.77092,129.4,a4ddca,N412YX,E75L,EMBRAER ERJ-170-200 (long wing),0
takeoff,JFK,13L,1683679941.84,2023-05-10T00:52:21Z,40.648727,-73.770782,140.6,a4ddca,N412YX,E75L,EMBRAER ERJ-170-200 (long wing),0
landing,JFK,22L,1683680141.83,2023-05-10T00:55:41Z,40.635464,-73.762512,208.1,4077d4,G-VRNB,A35K,AIRBUS A-350-1000,0
takeoff,JFK,22L,1683680176.41,2023-05-10T00:56:16Z,40.629742,-73.767914,208.1,4077d4,G-VRNB,A35K,AIRBUS A-350-1000,0
takeoff,JFK,31L,1683680299.96,2023-05-10T00:58:19Z,40.644733,-73.804794,315.0,a01f73,N107HQ,E75L,EMBRAER ERJ-170-200 (long wing),0
landing,JFK,31L,1683682928.94,2023-05-10T01:42:08Z,40.634354,-73.780975,300.9,a93631,N693DL,B752,BOEING 757-200,0
takeoff,JFK,31L,1683682962.92,2023-05-10T01:42:42Z,40.635509,-73.782684,300.9,a93631,N693DL,B752,BOEING 757-200,0
takeoff,JFK,13R,1683682968.04,2023-05-10T01:42:48Z,40.647549,-73.815125,118.1,a07f60,N131EV,CRJ9,BOMBARDIER Regional Jet CRJ-900,0
landing,JFK,31L,1683687539.1,2023-05-10T02:58:59Z,40.638591,-73.790328,300.9,aa6914,N770AN,B772,BOEING 777-200,0
takeoff,JFK,31L,1683687539.1,2023-05-10T02:58:59Z,40.638591,-73.790328,300.9,aa6914,N770AN,B772,BOEING 777-200,0
landing,LGA,13,1683688089.97,2023-05-10T03:08:09Z,40.777279,-73.870285,118.1,a448ba,N3750D,B738,BOEING 737-800,0
takeoff,LGA,13,1683688177.92,2023-05-10T03:09:37Z,40.774017,-73.863571,126.6,a448ba,N3750D,B738,BOEING 737-800,0
landing,LGA,04,1683688635.63,2023-05-10T03:17:15Z,40.77055,-73.881546,75.9,a645df,N503JB,A320,AIRBUS A-320,0
takeoff,LGA,04,1683688643.7,2023-05-10T03:17:23Z,40.770776,-73.881324,36.6,a645df,N503JB,A320,AIRBUS A-320,0
landing,JFK,22R,1683690142.81,2023-05-10T03:42:22Z,40.639046,-73.768875,208.1,abd6ed,N862GT,B748,BOEING 747-8,0
takeoff,JFK,22R,1683690146.8,2023-05-10T03:42:26Z,40.638817,-73.769089,216.6,abd6ed,N862GT,B748,BOEING 747-8,0
takeoff,JFK,13R,1683694491.19,2023-05-10T04:54:51Z,40.641756,-73.793137,109.7,71c217,HL8217,B77W,BOEING 777-300ER,0
landing,JFK,31L,1683703617.4,2023-05-10T07:26:57Z,40.639464,-73.792248,298.1,758525,RP-C3501,A359,AIRBUS A-350-900,0
takeoff,JFK,31L,1683704138.5,2023-05-10T07:35:38Z,40.648052,-73.812098,300.9,758525,RP-C3501,A359,AIRBUS A-350-900,0
landing,JFK,31L,1683709146.4,2023-05-10T08:59:06Z,40.635075,-73.782578,300.9,a0f4f6,N16065,B763,BOEING 767-300,0
landing,JFK,31L,1683709799.21,2023-05-10T09:09:59Z,40.634983,-73.782307,300.9,aa57df,N766AN,B772,BOEING 777-200,0
takeoff,JFK,31L,1683710028.89,2023-05-10T09:13:48Z,40.639984,-73.793365,300.9,aa57df,N766AN,B772,BOEING 777-200,0
landing,JFK,31L,1683712463.37,2023-05-10T09:54:23Z,40.635041,-73.78251,300.9,ab7ae4,N839MH,B764,BOEING 767-400,0
takeoff,JFK,31L,1683712463.37,2023-05-10T09:54:23Z,40.635041,-73.78251,300.9,ab7ae4,N839MH,B764,BOEING 767-400,0
landing,JFK,13L,1683714294.86,2023-05-10T10:24:54Z,40.649563,-73.772156,118.1,a3ad6d,N336PQ,CRJ9,BOMBARDIER Regional Jet CRJ-900,0
takeoff,JFK,13L,1683714343.83,2023-05-10T10:25:43Z,40.646942,-73.771347,123.8,a3ad6d,N336PQ,CRJ9,BOMBARDIER Regional Jet CRJ-900,0
landing,JFK,13L,1683715323.83,2023-05-10T10:42:03Z,40.649197,-73.771545,126.6,a01bbc,N106HQ,E75L,EMBRAER ERJ-170-200 (long wing),0
landing,JFK,22R,1683715406.87,2023-05-10T10:43:26Z,40.645958,-73.769183,216.6,a120f3,N172DN,B763,BOEING 767-300,0
landing,JFK,31R,1683715636.2,2023-05-10T10:47:16Z,40.647961,-73.771469,267.2,a4cc95,N408YX,E75L,EMBRAER ERJ-170-200 (long wing),0
takeoff,JFK,31R,1683715641.99,2023-05-10T10:47:21Z,40.648144,-73.771927,295.3,a4cc95,N408YX,E75L,EMBRAER ERJ-170-200 (long wing),0
landing,JFK,31L,1683715648.05,2023-05-10T10:47:28Z,40.629375,-73.769882,300.9,a3dbd0,N348JB,E190,EMBRAER ERJ-190-100,0
takeoff,JFK,04R,1683715666.03,2023-05-10T10:47:46Z,40.630829,-73.769714,36.6,a3dbd0,N348JB,E190,EMBRAER ERJ-190-100,0
landing,JFK,31L,1683715750.1,2023-05-10T10:49:10Z,40.634159,-73.780579,292.5,a3b124,N337PQ,CRJ9,BOMBARDIER Regional Jet CRJ-900,0
takeoff,JFK,31L,1683715750.92,2023-05-10T10:49:10Z,40.634228,-73.780685,298.1,a3b124,N337PQ,CRJ9,BOMBARDIER Regional Jet CRJ-900,0
takeoff,JFK,13R,1683715841.89,2023-05-10T10:50:41Z,40.647549,-73.815018,120.9,a2d9ea,N283JB,E190,EMBRAER ERJ-190-100,0
landing,JFK,13L,1683716551.87,2023-05-10T11:02:31Z,40.647766,-73.769348,151.9,a29551,N266AK,B739,BOEING 737-900,0
takeoff,JFK,13L,1683716551.87,2023-05-10T11:02:31Z,40.647766,-73.769348,151.9,a29551,N266AK,B739,BOEING 737-900,0
landing,JFK,31L,1683716678.87,2023-05-10T11:04:38Z,40.634182,-73.780731,289.7,ab38a1,N822DN,B739,BOEING 737-900,0
takeoff,JFK,31L,1683716679.84,2023-05-10T11:04:39Z,40.634239,-73.780807,295.3,ab38a1,N822DN,B739,BOEING 737-900,0
landing,JFK,31L,1683717593.43,2023-05-10T11:19:53Z,40.641541,-73.798279,275.6,a9a901,N721TW,B752,BOEING 757-200,0
landing,JFK,31L,1683717678.91,2023-05-10T11:21:18Z,40.641609,-73.797028,278.4,a6ab5a,N529LC,CL30,BOMBARDIER BD-100 Challenger 300,8
landing,JFK,31L,1683717743.43,2023-05-10T11:22:23Z,40.639011,-73.793259,298.1,a091f3,N136EV,CRJ9,BOMBARDIER Regional Jet CRJ-900,0
takeoff,JFK,31L,1683717823.58,2023-05-10T11:23:43Z,40.648533,-73.811127,295.3,a6ab5a,N529LC,CL30,BOMBARDIER BD-100 Challenger 300,8
landing,JFK,13L,1683717856.89,2023-05-10T11:24:16Z,40.648796,-73.770752,123.8,a17c12,N195PQ,CRJ9,BOMBARDIER Regional Jet CRJ-900,0
landing,JFK,22R,1683717860.94,2023-05-10T11:24:20Z,40.640121,-73.774216,225.0,a47244,N386HA,A332,AIRBUS A-330-200,0
takeoff,JFK,22R,1683717860.94,2023-05-10T11:24:20Z,40.640121,-73.774216,225.0,a47244,N386HA,A332,AIRBUS A-330-200,0
takeoff,JFK,13R,1683717910.4,2023-05-10T11:25:10Z,40.646072,-73.81163,118.1,a9a901,N721TW,B752,BOEING 757-200,0
takeoff,JFK,31L,1683717970.14,2023-05-10T11:26:10Z,40.649174,-73.815872,303.8,a091f3,N136EV,CRJ9,BOMBARDIER Regional Jet CRJ-900,0
landing,JFK,31R,1683718071.81,2023-05-10T11:27:51Z,40.649288,-73.774445,292.5,aa7439,N773AN,B772,BOEING 777-200,0
takeoff,JFK,31R,1683718095.81,2023-05-10T11:28:15Z,40.650444,-73.776932,292.5,aa7439,N773AN,B772,BOEING 777-200,0
landing,JFK,31L,1683718730.89,2023-05-10T11:38:50Z,40.629456,-73.770035,298.1,a02c40,N110AN,A321,AIRBUS A-321,0
takeoff,JFK,31L,1683718730.89,2023-05-10T11:38:50Z,40.629456,-73.770035,298.1,a02c40,N110AN,A321,AIRBUS A-321,0
landing,JFK,04L,1683719172.88,2023-05-10T11:46:12Z,40.63401,-73.777786,39.4,ad4f72,N957JB,A321,AIRBUS A-321,0
takeoff,JFK,04L,1683719173.96,2023-05-10T11:46:13Z,40.634056,-73.777771,30.9,ad4f72,N957JB,A321,AIRBUS A-321,0
landing,JFK,22L,1683719382.9,2023-05-10T11:49:42Z,40.633793,-73.763702,205.3,a230d6,N240JQ,E75L,EMBRAER ERJ-170-200 (long wing),0
landing,JFK,22L,1683719507.93,2023-05-10T11:51:47Z,40.629696,-73.767792,236.2,a11d3c,N171DN,B763,BOEING 767-300,0
takeoff,JFK,04L,1683719571.81,2023-05-10T11:52:51Z,40.650444,-73.765701,16.9,a01bbc,N106HQ,E75L,EMBRAER ERJ-170-200 (long wing),0
landing,JFK,22L,1683719617.8,2023-05-10T11:53:37Z,40.629398,-73.768661,244.7,a9e167,N736AT,B77W,BOEING 777-300ER,0
takeoff,JFK,04L,1683719627.96,2023-05-10T11:53:47Z,40.633793,-73.778046,56.2,a11d3c,N171DN,B763,BOEING 767-300,0
landing,JFK,13L,1683719636.9,2023-05-10T11:53:56Z,40.649689,-73.777298,120.9,a30961,N295PQ,CRJ9,BOMBARDIER Regional Jet CRJ-900,0
takeoff,JFK,13L,1683719661.05,2023-05-10T11:54:21Z,40.648682,-73.77504,112.5,a30961,N295PQ,CRJ9,BOMBARDIER Regional Jet CRJ-900,0
takeoff,JFK,22R,1683719764.84,2023-05-10T11:56:04Z,40.639927,-73.774445,202.5,a230d6,N240JQ,E75L,EMBRAER ERJ-170-200 (long wing),0
takeoff,JFK,31L,1683719909.17,2023-05-10T11:58:29Z,40.641541,-73.795059,303.8,a9e167,N736AT,B77W,BOEING 777-300ER,0
landing,JFK,04L,1683719915.92,2023-05-10T11:58:35Z,40.64072,-73.772741,19.7,a21142,N232PQ,CRJ9,BOMBARDIER Regional Jet CRJ-900,0
landing,JFK,13L,1683720014.81,2023-05-10T12:00:14Z,40.654861,-73.780746,87.2,a3572c,N314RH,B38M,BOEING 737 MAX 8,0
takeoff,JFK,04L,1683720074.89,2023-05-10T12:01:14Z,40.646004,-73.769135,28.1,a3c259,N341PQ,CRJ9,BOMBARDIER Regional Jet CRJ-900,0
landing,LGA,22,1683720115.5,2023-05-10T12:01:55Z,40.776661,-73.877899,208.1,a3f7b8,N355DN,A321,AIRBUS A-321,0
takeoff,LGA,22,1683720115.5,2023-05-10T12:01:55Z,40.776661,-73.877899,208.1,a3f7b8,N355DN,A321,AIRBUS A-321,0
landing,LGA,22,1683720117.37,2023-05-10T12:01:57Z,40.776077,-73.878372,208.1,a3f7b8,N355DN,A321,AIRBUS A-321,0
takeoff,JFK,22R,1683720138.0,2023-05-10T12:02:18Z,40.649734,-73.763962,219.4,a21142,N232PQ,CRJ9,BOMBARDIER Regional Jet CRJ-900,0
landing,JFK,22L,1683720261.99,2023-05-10T12:04:21Z,40.629501,-73.768433,236.2,a7b3c2,N596AS,B738,BOEING 737-800,0
