type,airport,runway,timestamp,timestamp_iso,lat,lon,track_deg,icao,registration,aircraft_type,description,db_flags
takeoff,JFK,13R,1754265621.13,2025-08-04T00:00:21Z,40.64566,-73.810745,120.9,a4c2ad,N4058J,A21N,AIRBUS A-321neo,0
takeoff,LGA,13,1754265675.03,2025-08-04T00:01:15Z,40.780415,-73.874573,123.8,acc7ae,N922XJ,CRJ9,BOMBARDIER Regional Jet CRJ-900,0
takeoff,JFK,13R,1754265731.6,2025-08-04T00:02:11Z,40.645259,-73.809882,120.9,ab1979,N814NW,A333,AIRBUS A-330-300,0
landing,JFK,13L,1754265772.96,2025-08-04T00:02:52Z,40.651078,-73.775456,120.9,aab2bf,N789JB,A320,AIRBUS A-320,0
takeoff,LGA,13,1754265799.1,2025-08-04T00:03:19Z,40.780354,-73.874458,123.8,acd961,N927NK,A20N,AIRBUS A-320neo,0
takeoff,JFK,13R,1754265862.19,2025-08-04T00:04:22Z,40.645821,-73.811066,120.9,a3a5d9,N334NB,A319,AIRBUS A-319,0
takeoff,LGA,13,1754265864.01,2025-08-04T00:04:24Z,40.781628,-73.877136,123.8,a210c5,N232JQ,E75L,EMBRAER ERJ-170-200 (long wing),0
landing,JFK,13L,1754265875.7,2025-08-04T00:04:35Z,40.651136,-73.775597,120.9,acf2e4,N933XJ,CRJ9,BOMBARDIER Regional Jet CRJ-900,0
takeoff,LGA,13,1754265948.6,2025-08-04T00:05:48Z,40.780941,-73.875687,123.8,a37651,N322FX,E545,EMBRAER EMB545 Praetor 500,0
takeoff,JFK,13R,1754265950.41,2025-08-04T00:05:50Z,40.645597,-73.810616,120.9,ab5d2c,N831MH,B764,BOEING 767-400,0
landing,JFK,13L,1754265959.88,2025-08-04T00:05:59Z,40.651302,-73.77594,123.8,a38439,N3257J,BCS3,,0
takeoff,LGA,13,1754266012.81,2025-08-04T00:06:52Z,40.781662,-73.877167,123.8,a24720,N246JQ,E75L,EMBRAER ERJ-170-200 (long wing),0
takeoff,LGA,13,1754266092.58,2025-08-04T00:08:12Z,40.781576,-73.876986,123.8,a537ed,N435YX,E75L,EMBRAER ERJ-170-200 (long wing),0
landing,JFK,22L,1754266133.63,2025-08-04T00:08:53Z,40.635155,-73.762787,210.9,aa9f6f,N784AN,B772,BOEING 777-200,0
takeoff,JFK,13R,1754266154.87,2025-08-04T00:09:14Z,40.645683,-73.810791,120.9,ad846f,N970JB,A321,AIRBUS A-321,0
landing,LGA,22,1754266155.39,2025-08-04T00:09:15Z,40.778961,-73.876083,210.9,a845f4,N632JB,A320,AIRBUS A-320,0
landing,JFK,13L,1754266163.18,2025-08-04T00:09:23Z,40.646516,-73.770946,157.5,a92ea0,N691CA,CRJ9,BOMBARDIER Regional Jet CRJ-900,0
takeoff,LGA,13,1754266180.31,2025-08-04T00:09:40Z,40.780128,-73.873978,123.8,a8aef3,N659JB,A320,AIRBUS A-320,0
landing,JFK,13L,1754266209.47,2025-08-04T00:10:09Z,40.650217,-73.773583,120.9,ac8b43,N907XJ,CRJ9,BOMBARDIER Regional Jet CRJ-900,0
takeoff,JFK,13R,1754266224.82,2025-08-04T00:10:24Z,40.645466,-73.810287,120.9,a4ce71,N409DX,A339,AIRBUS A-330-900,0
takeoff,LGA,13,1754266247.8,2025-08-04T00:10:47Z,40.781536,-73.876923,123.8,a2355d,N241SY,E75L,EMBRAER ERJ-170-200 (long wing),0
takeoff,JFK,13R,1754266317.79,2025-08-04T00:11:57Z,40.645038,-73.809351,120.9,4c0223,YU-ARD,A332,AIRBUS A-330-200,0
takeoff,LGA,13,1754266339.78,2025-08-04T00:12:19Z,40.780028,-73.873771,120.9,ab766a,N838DN,B739,BOEING 737-900,0
landing,JFK,22L,1754266382.67,2025-08-04T00:13:02Z,40.63212,-73.765156,210.9,3c64f4,D-AIGT,A343,AIRBUS A-340-300,0
takeoff,LGA,13,1754266415.16,2025-08-04T00:13:35Z,40.779993,-73.873709,123.8,a9d5a2,N73259,B738,BOEING 737-800,0
takeoff,JFK,13R,1754266417.76,2025-08-04T00:13:37Z,40.645855,-73.811172,120.9,a00d5b,N102NN,A321,AIRBUS A-321,0
landing,LGA,22,1754266448.45,2025-08-04T00:14:08Z,40.778655,-73.876315,210.9,a06e0b,N127DN,A321,AIRBUS A-321,0
takeoff,LGA,13,1754266476.17,2025-08-04T00:14:36Z,40.781576,-73.877017,120.9,ab40ce,N824MD,E170,EMBRAER ERJ-170-100,0
takeoff,JFK,13R,1754266489.05,2025-08-04T00:14:49Z,40.645134,-73.809601,120.9,a53612,N435DX,A339,AIRBUS A-330-900,0
