type,airport,runway,timestamp,timestamp_iso,lat,lon,track_deg,icao,registration,aircraft_type,description,db_flags
takeoff,LGA,04,1718755270.79,2024-06-19T00:01:10Z,40.775448,-73.877213,75.9,a8f9a3,N678CA,CRJ9,BOMBARDIER Regional Jet CRJ-900,0
landing,LGA,22,1718755311.81,2024-06-19T00:01:51Z,40.773324,-73.879936,180.0,c01860,C-FJFZ,CRJ9,BOMBARDIER Regional Jet CRJ-900,0
takeoff,LGA,04,1718755323.36,2024-06-19T00:02:03Z,40.772999,-73.879499,75.9,c01860,C-FJFZ,CRJ9,BOMBARDIER Regional Jet CRJ-900,0
takeoff,JFK,22R,1718755356.0,2024-06-19T00:02:36Z,40.634159,-73.779388,241.9,ad4804,N955JB,A321,AIRBUS A-321,0
landing,JFK,22L,1718755361.76,2024-06-19T00:02:41Z,40.632795,-73.764595,210.9,a759eb,N573DT,A21N,AIRBUS A-321neo,0
landing,LGA,22,1718755368.45,2024-06-19T00:02:48Z,40.776798,-73.877853,210.9,a338ac,N3065J,BCS3,AIRBUS A220-300,0
takeoff,JFK,22R,1718755383.84,2024-06-19T00:03:03Z,40.649426,-73.764189,210.9,ab7ae4,N839MH,B764,BOEING 767-400,0
landing,JFK,22L,1718755447.42,2024-06-19T00:04:07Z,40.633003,-73.764984,233.4,a36ff7,N320SY,E75L,,0
takeoff,JFK,31L,1718755454.36,2024-06-19T00:04:14Z,40.634171,-73.780518,293.9,a148b9,N182GJ,CRJ9,BOMBARDIER Regional Jet CRJ-900,0
landing,LGA,22,1718755455.78,2024-06-19T00:04:15Z,40.773834,-73.879913,182.8,a23fb2,N244JQ,E75L,EMBRAER ERJ-170-200 (long wing),0
takeoff,JFK,22R,1718755476.05,2024-06-19T00:04:36Z,40.646656,-73.766358,210.9,a16883,N190DN,B763,BOEING 767-300,0
landing,LGA,22,1718755539.99,2024-06-19T00:05:39Z,40.773399,-73.879944,182.8,a33a1d,N307JB,E190,EMBRAER ERJ-190-100,0
takeoff,LGA,22,1718755539.99,2024-06-19T00:05:39Z,40.773399,-73.879944,182.8,a33a1d,N307JB,E190,EMBRAER ERJ-190-100,0
landing,JFK,22L,1718755561.36,2024-06-19T00:06:01Z,40.631985,-73.765228,210.9,3949e6,F-GSPG,B772,BOEING 777-200,0
takeoff,JFK,31L,1718755564.62,2024-06-19T00:06:04Z,40.633249,-73.783321,295.3,acca19,N923JB,A321,AIRBUS A-321,0
landing,JFK,04L,1718755631.2,2024-06-19T00:07:11Z,40.631701,-73.780216,5.6,a08e3c,N135EV,CRJ9,BOMBARDIER Regional Jet CRJ-900,0
landing,JFK,22R,1718755673.2,2024-06-19T00:07:53Z,40.630795,-73.778763,210.9,ad79e8,N968AK,B39M,BOEING 737 MAX 9,0
landing,JFK,22L,1718755677.4,2024-06-19T00:07:57Z,40.630508,-73.766586,222.2,a4dbef,N412DX,A339,AIRBUS A-330-900,0
landing,LGA,04,1718755680.44,2024-06-19T00:08:00Z,40.775986,-73.876831,67.5,a01805,N105HQ,E75L,EMBRAER ERJ-170-200 (long wing),0
landing,LGA,22,1718755685.32,2024-06-19T00:08:05Z,40.773487,-73.879936,182.8,acc7ae,N922XJ,CRJ9,BOMBARDIER Regional Jet CRJ-900,0
takeoff,JFK,31L,1718755706.57,2024-06-19T00:08:26Z,40.634972,-73.782364,300.9,a759eb,N573DT,A21N,AIRBUS A-321neo,0
landing,LGA,22,1718755754.55,2024-06-19T00:09:14Z,40.773615,-73.879936,180.0,a22ac6,N239JQ,E75L,EMBRAER ERJ-170-200 (long wing),0
takeoff,JFK,22R,1718755764.18,2024-06-19T00:09:24Z,40.647984,-73.76532,210.9,ab15c2,N813NW,A333,AIRBUS A-330-300,0
landing,JFK,22L,1718755772.38,2024-06-19T00:09:32Z,40.634692,-73.763112,210.9,a6833b,N519DT,A21N,AIRBUS A-321neo,0
landing,LGA,22,1718755843.38,2024-06-19T00:10:43Z,40.774361,-73.879761,205.3,a6152a,N491PX,CRJ9,BOMBARDIER Regional Jet CRJ-900,0
takeoff,JFK,22R,1718755851.24,2024-06-19T00:10:51Z,40.648579,-73.764847,210.9,a02c94,N110DX,A321,AIRBUS A-321,0
landing,JFK,22L,1718755865.15,2024-06-19T00:11:05Z,40.634506,-73.763268,210.9,a3401a,N3085J,BCS3,AIRBUS A220-300,0
takeoff,LGA,04,1718755878.61,2024-06-19T00:11:18Z,40.776036,-73.876783,64.7,a22ac6,N239JQ,E75L,EMBRAER ERJ-170-200 (long wing),0
landing,LGA,22,1718755943.66,2024-06-19T00:12:23Z,40.773479,-73.879944,182.8,a3b808,N339JB,E190,EMBRAER ERJ-190-100,0
landing,JFK,22L,1718755951.99,2024-06-19T00:12:31Z,40.629845,-73.767654,233.4,a9c151,N728AN,B77W,BOEING 777-300ER,0
landing,JFK,22R,1718755972.85,2024-06-19T00:12:52Z,40.630096,-73.779297,210.9,a9b06f,N723TW,B752,BOEING 757-200,0
takeoff,JFK,31L,1718756040.09,2024-06-19T00:14:00Z,40.633507,-73.78389,300.9,ad6bdc,N964JT,A321,AIRBUS A-321,0
takeoff,JFK,22R,1718756058.81,2024-06-19T00:14:18Z,40.647843,-73.765422,210.9,ab772d,N838MH,B764,BOEING 767-400,0
takeoff,LGA,31,1718756059.2,2024-06-19T00:14:19Z,40.778352,-73.873428,272.8,a35af8,N315SD,B38M,BOEING 737 MAX 8,0
landing,LGA,22,1718756109.02,2024-06-19T00:15:09Z,40.776094,-73.878437,210.9,ab3601,N821QS,C700,CESSNA 700 Citation Longitude,0
landing,JFK,22R,1718756164.77,2024-06-19T00:16:04Z,40.630028,-73.779343,210.9,aaf183,N804JB,A320,AIRBUS A-320,0
landing,JFK,22L,1718756178.47,2024-06-19T00:16:18Z,40.630508,-73.766602,219.4,a4dfa6,N413DX,A339,AIRBUS A-330-900,0
takeoff,JFK,31R,1718756180.45,2024-06-19T00:16:20Z,40.648634,-73.772881,300.9,abba43,N855DN,B739,BOEING 737-900,0
landing,LGA,22,1718756203.63,2024-06-19T00:16:43Z,40.773777,-73.879929,182.8,a070d7,N12754,B737,BOEING 737-700,0
takeoff,JFK,31L,1718756206.72,2024-06-19T00:16:46Z,40.634389,-73.781043,300.9,a9b06f,N723TW,B752,BOEING 757-200,0
takeoff,LGA,04,1718756209.51,2024-06-19T00:16:49Z,40.776059,-73.88095,22.5,ab3601,N821QS,C700,CESSNA 700 Citation Longitude,0
takeoff,JFK,22R,1718756227.91,2024-06-19T00:17:07Z,40.647869,-73.765411,210.9,a845f4,N632JB,A320,AIRBUS A-320,0
