type,airport,runway,timestamp,timestamp_iso,lat,lon,track_deg,icao,registration,aircraft_type,description,db_flags
takeoff,LGA,13,1745366412.27,2025-04-23T00:00:12Z,40.775419,-73.866468,123.8,abc3ec,N8571Z,B738,BOEING 737-800,0
takeoff,JFK,22R,1745366441.67,2025-04-23T00:00:41Z,40.632853,-73.777142,210.9,a07228,N128HQ,E75L,EMBRAER ERJ-170-200 (long wing),0
takeoff,JFK,22R,1745366495.54,2025-04-23T00:01:35Z,40.646507,-73.766464,210.9,a64ce6,N505DZ,A21N,AIRBUS A-321neo,0
landing,JFK,22L,1745366504.36,2025-04-23T00:01:44Z,40.63559,-73.762436,210.9,3c64f0,D-AIGP,A343,AIRBUS A-340-300,0
landing,LGA,22,1745366547.74,2025-04-23T00:02:27Z,40.7767,-73.877922,213.8,a3cde4,N344TS,B38M,BOEING 737 MAX 8,0
landing,JFK,22R,1745366588.08,2025-04-23T00:03:08Z,40.632143,-73.777703,213.8,ad9712,N975JT,A321,AIRBUS A-321,0
takeoff,JFK,22R,1745366588.08,2025-04-23T00:03:08Z,40.632143,-73.777703,213.8,ad9712,N975JT,A321,AIRBUS A-321,0
landing,JFK,22R,1745366589.18,2025-04-23T00:03:09Z,40.631721,-73.77803,213.8,ad9712,N975JT,A321,AIRBUS A-321,0
landing,LGA,22,1745366605.4,2025-04-23T00:03:25Z,40.776979,-73.877657,213.8,abd50f,N8611F,B738,BOEING 737-800,0
landing,JFK,22L,1745366640.47,2025-04-23T00:04:00Z,40.63404,-73.763612,210.9,495278,CS-TSX,B772,BOEING 777-200,0
takeoff,LGA,13,1745366661.14,2025-04-23T00:04:21Z,40.777668,-73.87117,123.8,a23fb2,N244JQ,E75L,EMBRAER ERJ-170-200 (long wing),0
landing,LGA,22,1745366689.56,2025-04-23T00:04:49Z,40.775862,-73.878609,213.8,a1b449,N209JQ,E75L,EMBRAER ERJ-170-200 (long wing),0
takeoff,LGA,04,1745366697.2,2025-04-23T00:04:57Z,40.775448,-73.877304,64.7,abd50f,N8611F,B738,BOEING 737-800,0
takeoff,LGA,13,1745366713.85,2025-04-23T00:05:13Z,40.775443,-73.86653,123.8,a05470,N120HQ,E75L,EMBRAER ERJ-170-200 (long wing),0
takeoff,JFK,22R,1745366717.41,2025-04-23T00:05:17Z,40.646118,-73.766769,210.9,a1373d,N178DN,B763,BOEING 767-300,0
landing,JFK,22L,1745366769.01,2025-04-23T00:06:09Z,40.63179,-73.765396,210.9,abf78f,N870NN,B738,BOEING 737-800,0
takeoff,JFK,22R,1745366770.85,2025-04-23T00:06:10Z,40.647331,-73.765839,210.9,4080a2,G-VELJ,A35K,AIRBUS A-350-1000,0
landing,LGA,22,1745366797.08,2025-04-23T00:06:37Z,40.777991,-73.876861,213.8,a82d14,N626FR,A21N,AIRBUS A-321neo,0
takeoff,LGA,22,1745366818.07,2025-04-23T00:06:58Z,40.773525,-73.879944,185.6,a82d14,N626FR,A21N,AIRBUS A-321neo,0
landing,JFK,22L,1745366859.23,2025-04-23T00:07:39Z,40.636459,-73.761734,210.9,4ca615,EI-FNH,A333,AIRBUS A-330-300,0
takeoff,JFK,22R,1745366862.67,2025-04-23T00:07:42Z,40.646553,-73.766434,210.9,a11d47,N171DZ,B763,BOEING 767-300,0
landing,LGA,04,1745366882.95,2025-04-23T00:08:02Z,40.774919,-73.877891,33.8,a82d14,N626FR,A21N,AIRBUS A-321neo,0
landing,LGA,22,1745366923.84,2025-04-23T00:08:43Z,40.776913,-73.877747,208.1,a8f235,N676CA,CRJ9,BOMBARDIER Regional Jet CRJ-900,0
landing,LGA,22,1745367009.65,2025-04-23T00:10:09Z,40.77521,-73.879124,213.8,a046f2,N117HQ,E75L,EMBRAER ERJ-170-200 (long wing),0
landing,JFK,22L,1745367022.45,2025-04-23T00:10:22Z,40.631654,-73.765531,213.8,a1e946,N222JQ,E75L,EMBRAER ERJ-170-200 (long wing),0
takeoff,LGA,04,1745367033.05,2025-04-23T00:10:33Z,40.775471,-73.877228,73.1,a8f235,N676CA,CRJ9,BOMBARDIER Regional Jet CRJ-900,0
landing,JFK,22R,1745367043.17,2025-04-23T00:10:43Z,40.633644,-73.776505,213.8,a98f6a,N715JB,A320,AIRBUS A-320,0
landing,JFK,22L,1745367073.54,2025-04-23T00:11:13Z,40.636519,-73.761692,213.8,adc238,N986JB,A321,AIRBUS A-321,0
takeoff,LGA,04,1745367098.44,2025-04-23T00:11:38Z,40.775431,-73.877439,42.2,a046f2,N117HQ,E75L,EMBRAER ERJ-170-200 (long wing),0
takeoff,LGA,13,1745367105.43,2025-04-23T00:11:45Z,40.772405,-73.861739,120.9,a1b449,N209JQ,E75L,EMBRAER ERJ-170-200 (long wing),0
takeoff,LGA,13,1745367108.16,2025-04-23T00:11:48Z,40.773534,-73.864111,120.9,a75966,N57286,B38M,,0
takeoff,JFK,22R,1745367108.47,2025-04-23T00:11:48Z,40.646198,-73.766708,210.9,a4c96c,N4073J,A21N,AIRBUS A-321neo,0
landing,LGA,22,1745367115.85,2025-04-23T00:11:55Z,40.777654,-73.877127,215.2,a810cd,N619GK,SF50,CIRRUS SF-50 Vision,0
takeoff,JFK,04L,1745367125.88,2025-04-23T00:12:05Z,40.651016,-73.765121,59.1,a1a1b6,N204JQ,E75L,EMBRAER ERJ-170-200 (long wing),0
takeoff,LGA,13,1745367129.83,2025-04-23T00:12:09Z,40.773045,-73.86149,126.6,a5e02d,N478PX,CRJ9,BOMBARDIER Regional Jet CRJ-900,0
takeoff,JFK,31L,1745367154.16,2025-04-23T00:12:34Z,40.635006,-73.787238,300.9,a01112,N103NN,A321,AIRBUS A-321,0
landing,JFK,22L,1745367165.64,2025-04-23T00:12:45Z,40.635879,-73.762191,210.9,acda41,N927XJ,CRJ9,BOMBARDIER Regional Jet CRJ-900,0
landing,LGA,22,1745367169.44,2025-04-23T00:12:49Z,40.778091,-73.876785,213.8,ab1c47,N815DN,B739,BOEING 737-900,0
takeoff,JFK,22R,1745367172.28,2025-04-23T00:12:52Z,40.646214,-73.766701,210.9,aab2bf,N789JB,A320,AIRBUS A-320,0
takeoff,JFK,31L,1745367222.54,2025-04-23T00:13:42Z,40.636013,-73.789474,300.9,a38082,N3247J,BCS3,,0
landing,JFK,22L,1745367249.89,2025-04-23T00:14:09Z,40.635681,-73.762344,210.9,a70f11,N554JB,A320,AIRBUS A-320,0
landing,LGA,22,1745367260.75,2025-04-23T00:14:20Z,40.774954,-73.879358,213.8,a099a7,N138HQ,E75L,EMBRAER ERJ-170-200 (long wing),0
takeoff,JFK,22R,1745367282.28,2025-04-23T00:14:42Z,40.646667,-73.766327,210.9,a883bd,N648JB,A320,AIRBUS A-320,0
landing,JFK,22L,1745367327.05,2025-04-23T00:15:27Z,40.634704,-73.763097,210.9,aca594,N914AN,B738,BOEING 737-800,0
takeoff,JFK,31L,1745367340.45,2025-04-23T00:15:40Z,40.634022,-73.785065,300.9,ab5975,N830MH,B764,BOEING 767-400,0
landing,LGA,22,1745367359.14,2025-04-23T00:15:59Z,40.775414,-73.878983,213.8,a1be10,N211JQ,E75L,EMBRAER ERJ-170-200 (long wing),0
landing,LGA,22,1745367409.36,2025-04-23T00:16:49Z,40.778573,-73.876362,213.8,a7de53,N606JB,A320,AIRBUS A-320,0
takeoff,LGA,22,1745367409.36,2025-04-23T00:16:49Z,40.778573,-73.876362,213.8,a7de53,N606JB,A320,AIRBUS A-320,0
landing,LGA,22,1745367410.84,2025-04-23T00:16:50Z,40.77808,-73.87677,213.8,a7de53,N606JB,A320,AIRBUS A-320,0
takeoff,JFK,22R,1745367419.36,2025-04-23T00:16:59Z,40.646267,-73.766678,210.9,a5fc9b,N485QS,E55P,,0
landing,JFK,22L,1745367431.64,2025-04-23T00:17:11Z,40.636717,-73.761567,210.9,a1a0c4,N2039J,A21N,AIRBUS A-321neo,0
takeoff,LGA,31,1745367446.69,2025-04-23T00:17:26Z,40.777737,-73.873108,275.6,a099a7,N138HQ,E75L,EMBRAER ERJ-170-200 (long wing),0
takeoff,LGA,04,1745367479.94,2025-04-23T00:17:59Z,40.778275,-73.874252,73.1,a1be10,N211JQ,E75L,EMBRAER ERJ-170-200 (long wing),0
takeoff,JFK,31L,1745367483.46,2025-04-23T00:18:03Z,40.635876,-73.789124,300.9,a36825,N3189J,BCS3,AIRBUS A220-300,0
takeoff,JFK,22R,1745367489.74,2025-04-23T00:18:09Z,40.64647,-73.766499,210.9,acd120,N925DZ,B739,BOEING 737-900,0
takeoff,LGA,13,1745367497.44,2025-04-23T00:18:17Z,40.774223,-73.869949,135.0,a82d14,N626FR,A21N,AIRBUS A-321neo,0
landing,JFK,22L,1745367501.06,2025-04-23T00:18:21Z,40.633049,-73.764389,210.9,a35e9c,N316RK,B38M,BOEING 737 MAX 8,0
landing,LGA,22,1745367525.75,2025-04-23T00:18:45Z,40.775419,-73.878952,213.8,a51425,N426YX,E75L,EMBRAER ERJ-170-200 (long wing),0
takeoff,JFK,22R,1745367555.24,2025-04-23T00:19:15Z,40.646772,-73.766264,210.9,a19d0d,N2029J,A21N,AIRBUS A-321neo,0
takeoff,JFK,31L,1745367563.25,2025-04-23T00:19:23Z,40.63512,-73.787506,300.9,a04dfa,N119DN,A321,AIRBUS A-321,0
takeoff,LGA,04,1745367563.45,2025-04-23T00:19:23Z,40.776089,-73.876617,73.1,a7de53,N606JB,A320,AIRBUS A-320,0
landing,JFK,22L,1745367598.55,2025-04-23T00:19:58Z,40.635821,-73.762238,210.9,ac267c,N882NN,B738,BOEING 737-800,0
landing,LGA,22,1745367640.94,2025-04-23T00:20:40Z,40.778114,-73.876755,210.9,ad64cd,N962NN,B738,BOEING 737-800,0
landing,JFK,22L,1745367679.15,2025-04-23T00:21:19Z,40.636938,-73.76138,210.9,a849ab,N633JB,A320,AIRBUS A-320,0
takeoff,LGA,13,1745367701.47,2025-04-23T00:21:41Z,40.777657,-73.871155,123.8,a51425,N426YX,E75L,EMBRAER ERJ-170-200 (long wing),0
landing,LGA,22,1745367753.19,2025-04-23T00:22:33Z,40.776752,-73.877884,210.9,a9d5e5,N73276,B738,BOEING 737-800,0
takeoff,JFK,22R,1745367782.86,2025-04-23T00:23:02Z,40.646377,-73.766577,210.9,4bb141,TC-LJA,B77W,BOEING 777-300ER,0
landing,JFK,22L,1745367798.44,2025-04-23T00:23:18Z,40.633415,-73.76413,210.9,ab28c5,N818TH,F900,DASSAULT Falcon 900,8
takeoff,JFK,31L,1745367860.63,2025-04-23T00:24:20Z,40.635452,-73.788208,300.9,ad7ab8,N968JT,A321,AIRBUS A-321,0
landing,LGA,22,1745367877.81,2025-04-23T00:24:37Z,40.77776,-73.877029,213.8,a21f57,N236FR,A320,AIRBUS A-320,0
landing,JFK,22L,1745367899.52,2025-04-23T00:24:59Z,40.635944,-73.762131,210.9,789242,B-LQE,A359,AIRBUS A-350-900,0
takeoff,JFK,22R,1745367906.72,2025-04-23T00:25:06Z,40.647503,-73.765671,212.4,e80474,CC-BGY,B789,BOEING 787-9 Dreamliner,0
takeoff,JFK,31L,1745368006.94,2025-04-23T00:26:46Z,40.635624,-73.788574,300.9,aca948,N915AK,B39M,BOEING 737 MAX 9,0
landing,LGA,22,1745368018.28,2025-04-23T00:26:58Z,40.774674,-73.879561,208.1,a07bef,N130HQ,E75L,EMBRAER ERJ-170-200 (long wing),0
landing,JFK,22L,1745368083.73,2025-04-23T00:28:03Z,40.635809,-73.762254,210.9,ab72b3,N837DN,B739,BOEING 737-900,0
landing,LGA,22,1745368091.33,2025-04-23T00:28:11Z,40.777519,-73.877258,213.8,a41412,N362DN,A321,AIRBUS A-321,0
