type,airport,runway,timestamp,timestamp_iso,lat,lon,track_deg,icao,registration,aircraft_type,description,db_flags
takeoff,JFK,04L,1733184001.11,2024-12-03T00:00:01Z,40.625696,-73.782728,30.9,ab9387,N845MH,B764,BOEING 767-400,0
takeoff,LGA,22,1733184017.64,2024-12-03T00:00:17Z,40.770147,-73.881917,225.0,a22358,N237JQ,E75L,EMBRAER ERJ-170-200 (long wing),0
takeoff,JFK,22R,1733184021.77,2024-12-03T00:00:21Z,40.623138,-73.786652,213.8,4cabd2,EI-LRF,A21N,AIRBUS A-321neo,0
takeoff,JFK,04L,1733184076.77,2024-12-03T00:01:16Z,40.625576,-73.782837,28.1,a48e46,N393DN,A321,AIRBUS A-321,0
takeoff,JFK,22R,1733184115.38,2024-12-03T00:01:55Z,40.623058,-73.786728,210.9,3c6711,D-AIXQ,A359,AIRBUS A-350-900,0
landing,JFK,04R,1733184158.14,2024-12-03T00:02:38Z,40.633369,-73.764145,30.9,ac74f9,N901XJ,CRJ9,BOMBARDIER Regional Jet CRJ-900,0
landing,LGA,13,1733184218.39,2024-12-03T00:03:38Z,40.777142,-73.870088,120.9,a537ed,N435YX,E75L,EMBRAER ERJ-170-200 (long wing),0
takeoff,LGA,13,1733184218.39,2024-12-03T00:03:38Z,40.777142,-73.870088,120.9,a537ed,N435YX,E75L,EMBRAER ERJ-170-200 (long wing),0
landing,JFK,04R,1733184259.44,2024-12-03T00:04:19Z,40.63512,-73.762802,30.9,789242,B-LQE,A359,AIRBUS A-350-900,0
landing,LGA,13,1733184280.31,2024-12-03T00:04:40Z,40.777712,-73.871228,135.0,a37ed3,N324SY,E75L,,0
takeoff,LGA,13,1733184280.31,2024-12-03T00:04:40Z,40.777712,-73.871228,135.0,a37ed3,N324SY,E75L,,0
takeoff,LGA,22,1733184305.14,2024-12-03T00:05:05Z,40.776211,-73.875972,216.6,abb1c2,N8524Z,B738,BOEING 737-800,0
