type,airport,runway,timestamp,timestamp_iso,lat,lon,track_deg,icao,registration,aircraft_type,description,db_flags
takeoff,JFK,13L,1723939221.85,2024-08-18T00:00:21Z,40.65187,-73.774395,120.9,a4c2ad,N4058J,A21N,AIRBUS A-321neo,0
takeoff,JFK,22R,1723939278.22,2024-08-18T00:01:18Z,40.645878,-73.766968,210.9,aa7082,N772AN,B772,BOEING 777-200,0
landing,LGA,22,1723939306.12,2024-08-18T00:01:46Z,40.774258,-73.879959,210.9,abb579,N8534Z,B738,BOEING 737-800,0
landing,JFK,22L,1723939369.27,2024-08-18T00:02:49Z,40.630463,-73.766678,222.2,a33843,N3062J,BCS3,AIRBUS A220-300,0
landing,LGA,22,1723939376.97,2024-08-18T00:02:56Z,40.77635,-73.878219,210.9,a3355e,N3058J,BCS3,AIRBUS A220-300,0
takeoff,JFK,22R,1723939385.0,2024-08-18T00:03:05Z,40.646164,-73.766739,210.9,a4c5d8,N4064J,A21N,AIRBUS A-321neo,0
landing,JFK,22L,1723939444.81,2024-08-18T00:04:04Z,40.631767,-73.765427,210.9,acca19,N923JB,A321,AIRBUS A-321,0
takeoff,JFK,13R,1723939468.35,2024-08-18T00:04:28Z,40.634331,-73.782928,120.9,adabfe,N980JT,A321,AIRBUS A-321,0
landing,JFK,22L,1723939537.87,2024-08-18T00:05:37Z,40.630258,-73.766936,227.8,4951f0,CS-TOP,A332,AIRBUS A-330-200,0
landing,JFK,04L,1723939550.19,2024-08-18T00:05:50Z,40.63141,-73.780231,22.5,a2c93f,N279PQ,CRJ9,BOMBARDIER Regional Jet CRJ-900,0
landing,LGA,22,1723939556.87,2024-08-18T00:05:56Z,40.776851,-73.877798,210.9,a858f3,N637NK,A320,AIRBUS A-320,0
landing,JFK,22R,1723939589.48,2024-08-18T00:06:29Z,40.632737,-73.77722,210.9,a3ad5a,N336NW,A320,AIRBUS A-320,0
takeoff,JFK,31L,1723939646.66,2024-08-18T00:07:26Z,40.633427,-73.783737,300.9,a69463,N523DE,A21N,,0
takeoff,JFK,22R,1723939679.7,2024-08-18T00:07:59Z,40.647938,-73.76535,210.9,a0563b,N1201P,B763,BOEING 767-300,0
landing,JFK,22L,1723939711.27,2024-08-18T00:08:31Z,40.63347,-73.764251,219.4,a18380,N197PQ,CRJ9,BOMBARDIER Regional Jet CRJ-900,0
landing,LGA,04,1723939740.43,2024-08-18T00:09:00Z,40.776089,-73.876633,73.1,a5e9f4,N480PX,CRJ9,BOMBARDIER Regional Jet CRJ-900,0
takeoff,JFK,22R,1723939743.82,2024-08-18T00:09:03Z,40.648682,-73.764771,210.9,4ba94a,TC-JJJ,B77W,BOEING 777-300ER,0
landing,JFK,22L,1723939800.54,2024-08-18T00:10:00Z,40.633621,-73.763947,208.1,a768c2,N577DN,A21N,AIRBUS A-321neo,0
takeoff,JFK,22R,1723939832.72,2024-08-18T00:10:32Z,40.642897,-73.769323,213.8,abb3be,N853NW,A332,AIRBUS A-330-200,0
takeoff,JFK,31L,1723939852.39,2024-08-18T00:10:52Z,40.634843,-73.782057,300.9,a67f81,N518DQ,A21N,AIRBUS A-321neo,0
landing,JFK,22L,1723939880.23,2024-08-18T00:11:20Z,40.630749,-73.766342,219.4,ade9c0,N996JL,A321,AIRBUS A-321,0
takeoff,LGA,04,1723939905.73,2024-08-18T00:11:45Z,40.779586,-73.878188,33.8,c010e4,C-FGKH,A320,AIRBUS A-320,0
takeoff,JFK,04L,1723939968.05,2024-08-18T00:12:48Z,40.65049,-73.765656,30.9,a99d89,N719AN,B77W,BOEING 777-300ER,0
takeoff,JFK,22R,1723940000.11,2024-08-18T00:13:20Z,40.646586,-73.766405,208.1,a77d89,N582CA,CRJ9,BOMBARDIER Regional Jet CRJ-900,0
takeoff,JFK,22R,1723940060.58,2024-08-18T00:14:20Z,40.646542,-73.766434,210.9,a988f0,N713TW,B752,BOEING 757-200,0
landing,JFK,22L,1723940073.02,2024-08-18T00:14:33Z,40.630816,-73.76628,219.4,a4189f,N363NB,A319,AIRBUS A-319,0
landing,LGA,22,1723940102.17,2024-08-18T00:15:02Z,40.776867,-73.877777,213.8,c02dcf,C-FRJA,CRJ9,BOMBARDIER Regional Jet CRJ-900,0
landing,LGA,04,1723940114.67,2024-08-18T00:15:14Z,40.776077,-73.876694,70.3,ac7f41,N904NN,B738,BOEING 737-800,0
takeoff,LGA,04,1723940114.67,2024-08-18T00:15:14Z,40.776077,-73.876694,70.3,ac7f41,N904NN,B738,BOEING 737-800,0
landing,JFK,22L,1723940183.18,2024-08-18T00:16:23Z,40.633919,-73.763779,216.6,a546c9,N439YX,E75L,EMBRAER ERJ-170-200 (long wing),0
takeoff,LGA,31,1723940207.11,2024-08-18T00:16:47Z,40.780424,-73.876955,303.8,a03b67,N114DN,A321,AIRBUS A-321,0
takeoff,JFK,22R,1723940268.81,2024-08-18T00:17:48Z,40.647617,-73.76561,210.9,a13391,N177DZ,B763,BOEING 767-300,0
takeoff,JFK,13L,1723940294.11,2024-08-18T00:18:14Z,40.649786,-73.769791,120.9,abbdfa,N856DN,B739,BOEING 737-900,0
landing,LGA,22,1723940324.81,2024-08-18T00:18:44Z,40.774097,-73.880051,210.9,a91ab7,N686NK,A321,AIRBUS A-321,0
takeoff,JFK,22R,1723940338.66,2024-08-18T00:18:58Z,40.649082,-73.76445,210.9,4005bb,G-VIIC,B772,BOEING 777-200,0
landing,JFK,22L,1723940395.83,2024-08-18T00:19:55Z,40.630737,-73.766373,219.4,a8058a,N616FE,MD11,MCDONNELL-DOUGLAS MD-11,0
takeoff,JFK,31L,1723940426.85,2024-08-18T00:20:26Z,40.633255,-73.783401,298.1,a12c23,N175DZ,B763,BOEING 767-300,0
takeoff,JFK,22R,1723940430.14,2024-08-18T00:20:30Z,40.647858,-73.765411,210.9,a13748,N178DZ,B763,BOEING 767-300,0
landing,JFK,22L,1723940482.11,2024-08-18T00:21:22Z,40.630851,-73.766155,213.8,394a05,F-GSQF,B77W,BOEING 777-300ER,0
takeoff,JFK,22R,1723940492.45,2024-08-18T00:21:32Z,40.647994,-73.765297,210.9,a4ffb7,N421DX,A339,AIRBUS A-330-900,0
takeoff,LGA,04,1723940546.47,2024-08-18T00:22:26Z,40.775105,-73.880722,30.9,a8f338,N676NK,A321,AIRBUS A-321,0
landing,JFK,22L,1723940651.9,2024-08-18T00:24:11Z,40.630474,-73.766617,225.0,a44e18,N377DA,B738,BOEING 737-800,0
takeoff,JFK,31L,1723940677.76,2024-08-18T00:24:37Z,40.633072,-73.78299,298.1,a4c170,N405YX,E75L,EMBRAER ERJ-170-200 (long wing),0
takeoff,JFK,22R,1723940690.15,2024-08-18T00:24:50Z,40.646542,-73.766434,210.9,ab8b56,N843DN,B739,BOEING 737-900,0
takeoff,JFK,22R,1723940770.33,2024-08-18T00:26:10Z,40.648006,-73.765274,210.9,a15b05,N187DN,B763,BOEING 767-300,0
landing,JFK,22L,1723940771.64,2024-08-18T00:26:11Z,40.625874,-73.770309,233.4,a033ae,N112AN,A321,AIRBUS A-321,0
landing,JFK,22L,1723940854.06,2024-08-18T00:27:34Z,40.631154,-73.765952,213.8,a8e2d6,N67171,B752,BOEING 757-200,0
landing,JFK,22L,1723940936.03,2024-08-18T00:28:56Z,40.630543,-73.766586,225.0,a16c3a,N191DN,B763,BOEING 767-300,0
landing,LGA,22,1723940952.49,2024-08-18T00:29:12Z,40.77372,-73.879936,182.8,ac3b51,N8878L,B38M,BOEING 737 MAX 8,0
takeoff,JFK,31L,1723940971.12,2024-08-18T00:29:31Z,40.634506,-73.786115,300.9,a03765,N113AN,A321,AIRBUS A-321,0
takeoff,JFK,22R,1723940984.35,2024-08-18T00:29:44Z,40.646353,-73.766577,210.9,a362a5,N317US,A320,AIRBUS A-320,0
landing,JFK,22L,1723941021.56,2024-08-18T00:30:21Z,40.631119,-73.765952,216.6,a7b832,N597JB,A320,AIRBUS A-320,0
takeoff,JFK,22R,1723941048.63,2024-08-18T00:30:48Z,40.646713,-73.766296,210.9,adf128,N998JE,A321,AIRBUS A-321,0
landing,LGA,22,1723941053.0,2024-08-18T00:30:53Z,40.771206,-73.882386,205.3,a091d5,N136DQ,BCS1,AIRBUS A220-100,0
takeoff,JFK,22R,1723941144.82,2024-08-18T00:32:24Z,40.646393,-73.766556,209.5,e8043b,CC-BBD,B788,BOEING 787-8 Dreamliner,0
landing,JFK,22L,1723941147.0,2024-08-18T00:32:27Z,40.625766,-73.770572,250.3,406947,G-STBG,B77W,BOEING 777-300ER,0
landing,JFK,22L,1723941223.1,2024-08-18T00:33:43Z,40.629909,-73.766857,210.9,e8040b,CC-CXI,B763,BOEING 767-300,0
landing,JFK,22R,1723941274.57,2024-08-18T00:34:34Z,40.632145,-73.777679,210.9,a732d9,N563JB,A320,AIRBUS A-320,0
takeoff,LGA,13,1723941299.09,2024-08-18T00:34:59Z,40.780277,-73.874298,123.8,a8af5f,N659NK,A321,AIRBUS A-321,0
takeoff,JFK,31L,1723941312.02,2024-08-18T00:35:12Z,40.635899,-73.789215,298.1,ad935b,N974JT,A321,AIRBUS A-321,0
takeoff,LGA,31,1723941324.46,2024-08-18T00:35:24Z,40.78054,-73.877189,300.9,c017ed,C-FJBO,E75S,EMBRAER ERJ-170-200 (short wing),0
landing,JFK,22L,1723941326.13,2024-08-18T00:35:26Z,40.630235,-73.767029,229.2,440184,OE-LPM,B789,BOEING 787-9 Dreamliner,0
takeoff,JFK,22R,1723941411.92,2024-08-18T00:36:51Z,40.647869,-73.765411,210.9,406b0a,G-STBK,B77W,BOEING 777-300ER,0
landing,LGA,04,1723941415.39,2024-08-18T00:36:55Z,40.776048,-73.876814,56.2,a486cc,N391DA,B738,BOEING 737-800,0
takeoff,JFK,31L,1723941457.75,2024-08-18T00:37:37Z,40.63345,-73.783813,300.9,a21bea,N235JQ,E75L,EMBRAER ERJ-170-200 (long wing),0
landing,JFK,22L,1723941470.62,2024-08-18T00:37:50Z,40.630805,-73.766218,216.6,a9b06f,N723TW,B752,BOEING 757-200,0
landing,LGA,22,1723941480.44,2024-08-18T00:38:00Z,40.773605,-73.879944,182.8,a03f84,N115HQ,E75L,EMBRAER ERJ-170-200 (long wing),0
takeoff,JFK,22R,1723941521.76,2024-08-18T00:38:41Z,40.646736,-73.766281,208.1,a6ce58,N538CA,CRJ9,BOMBARDIER Regional Jet CRJ-900,0
takeoff,JFK,31L,1723941552.11,2024-08-18T00:39:12Z,40.633255,-73.783371,270.0,a03235,N111ZM,A321,AIRBUS A-321,0
landing,JFK,22L,1723941560.85,2024-08-18T00:39:20Z,40.630654,-73.766421,219.4,448446,OO-ABF,A339,AIRBUS A-330-900,0
landing,LGA,22,1723941569.94,2024-08-18T00:39:29Z,40.776199,-73.878344,210.9,a00c80,N102DU,BCS1,AIRBUS A220-100,0
