type,airport,runway,timestamp,timestamp_iso,lat,lon,track_deg,icao,registration,aircraft_type,description,db_flags
landing,LGA,04,1678579286.53,2023-03-12T00:01:26Z,40.77905,-73.875753,70.3,a7b832,N597JB,A320,AIRBUS A-320,0
landing,LGA,04,1678579456.51,2023-03-12T00:04:16Z,40.77824,-73.875916,59.1,a1b092,N208JQ,E75L,EMBRAER ERJ-170-200 (long wing),0
takeoff,LGA,04,1678579456.51,2023-03-12T00:04:16Z,40.77824,-73.875916,59.1,a1b092,N208JQ,E75L,EMBRAER ERJ-170-200 (long wing),0
takeoff,JFK,04L,1678579580.13,2023-03-12T00:06:20Z,40.622309,-73.785319,59.1,a1a0a1,N2038J,A21N,AIRBUS A-321neo,0
takeoff,JFK,22R,1678579593.24,2023-03-12T00:06:33Z,40.622704,-73.786728,171.6,4ca9bb,EI-LRB,A21N,AIRBUS A-321neo,0
takeoff,JFK,22R,1678579811.26,2023-03-12T00:10:11Z,40.622669,-73.786713,182.8,4075b3,G-VLUX,A35K,AIRBUS A-350-1000,0
takeoff,JFK,04L,1678580488.47,2023-03-12T00:21:28Z,40.62236,-73.785355,64.7,a7946a,N588JB,A320,AIRBUS A-320,0
takeoff,LGA,31,1678580630.92,2023-03-12T00:23:50Z,40.772882,-73.858899,298.1,a4f7cb,N419YX,E75L,EMBRAER ERJ-170-200 (long wing),0
takeoff,JFK,04L,1678581628.48,2023-03-12T00:40:28Z,40.6226,-73.785116,28.1,a0563b,N1201P,B763,BOEING 767-300,0
takeoff,JFK,22R,1678581674.56,2023-03-12T00:41:14Z,40.622786,-73.786755,191.2,a4c5d8,N4064J,A21N,AIRBUS A-321neo,0
takeoff,LGA,31,1678581795.15,2023-03-12T00:43:15Z,40.772919,-73.858887,303.8,a35388,N313SB,B38M,BOEING 737 MAX 8,0
takeoff,JFK,22R,1678582271.83,2023-03-12T00:51:11Z,40.622763,-73.786723,180.0,a6c3ca,N535JB,A320,AIRBUS A-320,0
takeoff,JFK,22R,1678582497.27,2023-03-12T00:54:57Z,40.622775,-73.786739,177.2,a5106e,N425YX,E75L,EMBRAER ERJ-170-200 (long wing),0
takeoff,JFK,22R,1678582902.95,2023-03-12T01:01:42Z,40.622669,-73.786591,168.8,a4caba,N408DX,A339,AIRBUS A-330-900,0
