type,airport,runway,timestamp,timestamp_iso,lat,lon,track_deg,icao,registration,aircraft_type,description,db_flags
takeoff,JFK,04L,1768089656.66,2026-01-11T00:00:56Z,40.626995,-73.781693,30.9,a34978,N3102J,BCS3,AIRBUS A220-300,0
landing,LGA,04,1768089661.35,2026-01-11T00:01:01Z,40.776723,-73.877891,33.8,a51f4a,N429YX,E75L,EMBRAER ERJ-170-200 (long wing),0
landing,JFK,04R,1768089683.59,2026-01-11T00:01:23Z,40.634617,-73.763168,25.3,a6ce58,N538CA,CRJ9,BOMBARDIER Regional Jet CRJ-900,0
landing,JFK,04L,1768089714.02,2026-01-11T00:01:54Z,40.63326,-73.776767,30.9,ada296,N978NN,B738,BOEING 737-800,0
landing,LGA,04,1768089745.83,2026-01-11T00:02:25Z,40.777382,-73.877335,30.9,acf492,N934AN,B738,BOEING 737-800,0
landing,JFK,04R,1768089764.25,2026-01-11T00:02:44Z,40.636496,-73.761708,30.9,3965a3,F-GZND,B77W,BOEING 777-300ER,0
takeoff,JFK,04L,1768089791.04,2026-01-11T00:03:11Z,40.626194,-73.782318,30.9,aaf5b1,N805NW,A333,AIRBUS A-330-300,0
takeoff,LGA,13,1768089801.82,2026-01-11T00:03:21Z,40.776924,-73.869888,163.1,abd9d9,N8629A,B738,BOEING 737-800,0
landing,LGA,04,1768089854.99,2026-01-11T00:04:14Z,40.776339,-73.878219,33.8,a80287,N615NK,A320,AIRBUS A-320,0
takeoff,LGA,13,1768089902.91,2026-01-11T00:05:02Z,40.780426,-73.874603,120.9,a44aa2,N376FR,A20N,AIRBUS A-320neo,0
takeoff,LGA,13,1768089903.77,2026-01-11T00:05:03Z,40.780249,-73.874239,120.9,a44aa2,N376FR,A20N,AIRBUS A-320neo,0
landing,JFK,04R,1768089908.85,2026-01-11T00:05:08Z,40.643143,-73.758255,11.2,899019,B-18053,B77W,BOEING 777-300ER,0
takeoff,JFK,04L,1768089936.46,2026-01-11T00:05:36Z,40.625824,-73.782619,30.9,ab5975,N830MH,B764,BOEING 767-400,0
landing,JFK,04R,1768089947.62,2026-01-11T00:05:47Z,40.635507,-73.762488,30.9,4ca5c7,EI-DUZ,A333,AIRBUS A-330-300,0
landing,LGA,04,1768089985.87,2026-01-11T00:06:25Z,40.776077,-73.878433,33.8,ab6519,N833SK,CRJ9,BOMBARDIER Regional Jet CRJ-900,0
takeoff,LGA,13,1768090031.09,2026-01-11T00:07:11Z,40.780063,-73.873818,120.9,ab93a5,N845NN,B738,BOEING 737-800,0
landing,JFK,04R,1768090041.77,2026-01-11T00:07:21Z,40.635949,-73.76216,32.4,040087,ET-ARE,B788,BOEING 787-8 Dreamliner,0
takeoff,JFK,04L,1768090084.96,2026-01-11T00:08:04Z,40.625661,-73.782744,28.1,a7e24a,N607LR,CRJ9,BOMBARDIER Regional Jet CRJ-900,0
takeoff,LGA,13,1768090091.86,2026-01-11T00:08:11Z,40.776828,-73.869417,123.8,ab6519,N833SK,CRJ9,BOMBARDIER Regional Jet CRJ-900,0
landing,LGA,04,1768090126.81,2026-01-11T00:08:46Z,40.777689,-73.877095,33.8,a07fa6,N131HQ,E75L,EMBRAER ERJ-170-200 (long wing),0
takeoff,JFK,04L,1768090165.66,2026-01-11T00:09:25Z,40.625393,-73.782962,30.9,0c2077,HP-1824CMP,B738,BOEING 737-800,0
landing,JFK,04R,1768090166.8,2026-01-11T00:09:26Z,40.635064,-73.762784,33.8,a05c59,N122NN,A321,AIRBUS A-321,0
