type,airport,runway,timestamp,timestamp_iso,lat,lon,track_deg,icao,registration,aircraft_type,description,db_flags
takeoff,JFK,22R,1676974337.91,2023-02-21T10:12:17Z,40.622681,-73.786692,168.8,a19cc7,N2027J,A21N,AIRBUS A-321neo,0
landing,LGA,13,1676977238.59,2023-02-21T11:00:38Z,40.772598,-73.86058,123.8,acc7ae,N922XJ,CRJ9,BOMBARDIER Regional Jet CRJ-900,0
takeoff,LGA,13,1676977238.59,2023-02-21T11:00:38Z,40.772598,-73.86058,123.8,acc7ae,N922XJ,CRJ9,BOMBARDIER Regional Jet CRJ-900,0
takeoff,JFK,04L,1676977334.56,2023-02-21T11:02:14Z,40.622728,-73.785054,30.9,ad7e6f,N969JT,A321,AIRBUS A-321,0
takeoff,LGA,31,1676977823.24,2023-02-21T11:10:23Z,40.772533,-73.862052,300.9,a3a990,N335NB,A319,AIRBUS A-319,0
takeoff,JFK,22R,1676977996.31,2023-02-21T11:13:16Z,40.622705,-73.786677,171.6,a03235,N111ZM,A321,AIRBUS A-321,0
takeoff,JFK,04L,1676978159.33,2023-02-21T11:15:59Z,40.622332,-73.785335,42.2,a78cfc,N586JB,A320,AIRBUS A-320,0
landing,LGA,13,1676979247.67,2023-02-21T11:34:07Z,40.772358,-73.861664,120.9,ac1f61,N880RW,E170,EMBRAER ERJ-170-100,0
takeoff,LGA,13,1676979247.67,2023-02-21T11:34:07Z,40.772358,-73.861664,120.9,ac1f61,N880RW,E170,EMBRAER ERJ-170-100,0
takeoff,JFK,22R,1676979461.32,2023-02-21T11:37:41Z,40.622716,-73.786677,171.6,aaf53a,N805JB,A320,AIRBUS A-320,0
takeoff,JFK,04L,1676979948.25,2023-02-21T11:45:48Z,40.622257,-73.785339,67.5,a04641,N117AN,A321,AIRBUS A-321,0
takeoff,JFK,22R,1676979957.0,2023-02-21T11:45:57Z,40.622715,-73.786697,168.8,a98445,N712JB,A320,AIRBUS A-320,0
takeoff,JFK,22R,1676980186.15,2023-02-21T11:49:46Z,40.62267,-73.786723,171.6,ada5ee,N979JT,A321,AIRBUS A-321,0
takeoff,JFK,22R,1676980427.76,2023-02-21T11:53:47Z,40.622798,-73.786817,194.1,ad444d,N954JB,A321,AIRBUS A-321,0
takeoff,JFK,04L,1676980467.52,2023-02-21T11:54:27Z,40.622669,-73.785126,30.9,a849ab,N633JB,A320,AIRBUS A-320,0
landing,JFK,22R,1676980551.03,2023-02-21T11:55:51Z,40.622775,-73.786817,185.6,ad562a,N959AV,A320,,0
takeoff,JFK,22R,1676980553.87,2023-02-21T11:55:53Z,40.622705,-73.78677,168.8,ad562a,N959AV,A320,,0
takeoff,JFK,04L,1676981060.45,2023-02-21T12:04:20Z,40.622349,-73.785355,42.2,a6f2b7,N547JB,A320,AIRBUS A-320,0
landing,LGA,13,1676981169.01,2023-02-21T12:06:09Z,40.772626,-73.860616,115.3,a8f235,N676CA,CRJ9,BOMBARDIER Regional Jet CRJ-900,0
takeoff,LGA,13,1676981169.01,2023-02-21T12:06:09Z,40.772626,-73.860616,115.3,a8f235,N676CA,CRJ9,BOMBARDIER Regional Jet CRJ-900,0
takeoff,LGA,22,1676981288.3,2023-02-21T12:08:08Z,40.776455,-73.8758,210.9,a35d73,N316DN,A321,AIRBUS A-321,0
takeoff,JFK,22R,1676981463.72,2023-02-21T12:11:03Z,40.62267,-73.786755,171.6,ad2baa,N948JB,A321,AIRBUS A-321,0
landing,LGA,13,1676981710.48,2023-02-21T12:15:10Z,40.772644,-73.860657,120.9,a1c935,N214JQ,E75L,EMBRAER ERJ-170-200 (long wing),0
takeoff,LGA,13,1676981710.48,2023-02-21T12:15:10Z,40.772644,-73.860657,120.9,a1c935,N214JQ,E75L,EMBRAER ERJ-170-200 (long wing),0
landing,JFK,22R,1676981769.04,2023-02-21T12:16:09Z,40.641838,-73.766739,210.9,a1b449,N209JQ,E75L,EMBRAER ERJ-170-200 (long wing),0
takeoff,JFK,22R,1676981769.96,2023-02-21T12:16:09Z,40.641758,-73.766785,208.1,a1b449,N209JQ,E75L,EMBRAER ERJ-170-200 (long wing),0
landing,JFK,04R,1676981782.91,2023-02-21T12:16:22Z,40.639652,-73.760681,351.6,a2033a,N229JB,E190,EMBRAER ERJ-190-100,0
takeoff,JFK,04R,1676981782.91,2023-02-21T12:16:22Z,40.639652,-73.760681,351.6,a2033a,N229JB,E190,EMBRAER ERJ-190-100,0
landing,LGA,13,1676981794.5,2023-02-21T12:16:34Z,40.77834,-73.873771,84.4,a4da13,N411YX,E75L,EMBRAER ERJ-170-200 (long wing),0
