type,airport,runway,timestamp,timestamp_iso,lat,lon,track_deg,icao,registration,aircraft_type,description,db_flags
takeoff,LGA,13,1700524908.05,2023-11-21T00:01:48Z,40.774109,-73.861328,120.9,aafca8,N807JB,A320,AIRBUS A-320,0
takeoff,LGA,13,1700524937.41,2023-11-21T00:02:17Z,40.782076,-73.878063,118.1,abb4ea,N8530W,B738,BOEING 737-800,0
landing,LGA,13,1700525109.37,2023-11-21T00:05:09Z,40.778011,-73.871902,118.1,a09239,N136HQ,E75L,EMBRAER ERJ-170-200 (long wing),0
takeoff,LGA,13,1700525146.54,2023-11-21T00:05:46Z,40.782146,-73.878203,120.9,ac2bb6,N88325,E75L,EMBRAER ERJ-170-200 (long wing),0
takeoff,LGA,13,1700525237.84,2023-11-21T00:07:17Z,40.782158,-73.87825,118.1,a06e71,N127HQ,E75L,EMBRAER ERJ-170-200 (long wing),0
takeoff,LGA,04,1700525359.41,2023-11-21T00:09:19Z,40.78175,-73.878656,354.4,a4b294,N401YX,E75L,EMBRAER ERJ-170-200 (long wing),0
takeoff,LGA,13,1700525360.28,2023-11-21T00:09:20Z,40.780598,-73.874957,120.9,ab7270,N837AW,A319,AIRBUS A-319,0
takeoff,LGA,04,1700525454.54,2023-11-21T00:10:54Z,40.781867,-73.878625,8.4,a03bcd,N114HQ,E75L,EMBRAER ERJ-170-200 (long wing),0
takeoff,LGA,13,1700525613.91,2023-11-21T00:13:33Z,40.780878,-73.87555,118.1,a19357,N200PQ,CRJ9,BOMBARDIER Regional Jet CRJ-900,0
landing,LGA,13,1700525733.35,2023-11-21T00:15:33Z,40.778366,-73.874191,115.3,aa763f,N773XF,A319,AIRBUS A-319,0
takeoff,LGA,13,1700525802.82,2023-11-21T00:16:42Z,40.780342,-73.874458,120.9,a3813b,N325DN,A321,AIRBUS A-321,0
takeoff,LGA,13,1700525847.6,2023-11-21T00:17:27Z,40.7822,-73.878174,92.8,aa35e1,N757UW,A319,AIRBUS A-319,0
landing,LGA,22,1700525906.65,2023-11-21T00:18:26Z,40.778981,-73.877517,210.9,aa269d,N753QS,CL30,BOMBARDIER BD-100 Challenger 300,0
takeoff,LGA,13,1700526203.35,2023-11-21T00:23:23Z,40.7821,-73.878125,120.9,a0205c,N107SY,E75L,EMBRAER ERJ-170-200 (long wing),0
takeoff,LGA,04,1700526229.62,2023-11-21T00:23:49Z,40.781742,-73.878647,357.2,a2270f,N238JQ,E75L,EMBRAER ERJ-170-200 (long wing),0
landing,JFK,04R,1700526313.84,2023-11-21T00:25:13Z,40.639652,-73.759262,25.3,a13386,N177DN,B763,BOEING 767-300,0
takeoff,JFK,04R,1700526320.9,2023-11-21T00:25:20Z,40.640682,-73.758728,19.7,a13386,N177DN,B763,BOEING 767-300,0
landing,JFK,04L,1700526338.91,2023-11-21T00:25:38Z,40.639973,-73.773254,28.1,acd2d3,N925XJ,CRJ9,BOMBARDIER Regional Jet CRJ-900,0
takeoff,JFK,04L,1700526338.91,2023-11-21T00:25:38Z,40.639973,-73.773254,28.1,acd2d3,N925XJ,CRJ9,BOMBARDIER Regional Jet CRJ-900,0
takeoff,LGA,13,1700526372.32,2023-11-21T00:26:12Z,40.782063,-73.878036,109.7,a03038,N111DC,A321,AIRBUS A-321,0
landing,LGA,04,1700526502.09,2023-11-21T00:28:22Z,40.778561,-73.875031,70.3,ab4c9f,N827UA,A319,AIRBUS A-319,0
takeoff,LGA,13,1700526539.22,2023-11-21T00:28:59Z,40.782097,-73.878098,120.9,a24369,N245JQ,E75L,EMBRAER ERJ-170-200 (long wing),0
takeoff,LGA,13,1700526612.52,2023-11-21T00:30:12Z,40.782051,-73.877975,123.8,a364c0,N318CE,FA7X,DASSAULT Falcon 7X,8
landing,LGA,13,1700526654.45,2023-11-21T00:30:54Z,40.778664,-73.874893,120.9,a04dfa,N119DN,A321,AIRBUS A-321,0
takeoff,LGA,13,1700526722.94,2023-11-21T00:32:02Z,40.782131,-73.878143,120.9,a55f6c,N445YX,E75L,EMBRAER ERJ-170-200 (long wing),0
takeoff,LGA,13,1700526807.81,2023-11-21T00:33:27Z,40.782169,-73.878235,123.8,a1a56d,N205JQ,E75L,EMBRAER ERJ-170-200 (long wing),0
takeoff,LGA,13,1700526858.28,2023-11-21T00:34:18Z,40.782166,-73.878265,84.4,a0144e,N104HQ,E75L,EMBRAER ERJ-170-200 (long wing),0
landing,LGA,04,1700526987.77,2023-11-21T00:36:27Z,40.778526,-73.875153,64.7,a732d9,N563JB,A320,AIRBUS A-320,0
landing,LGA,13,1700527090.99,2023-11-21T00:38:10Z,40.782251,-73.87246,118.1,a8f9a3,N678CA,CRJ9,BOMBARDIER Regional Jet CRJ-900,0
takeoff,LGA,13,1700527129.92,2023-11-21T00:38:49Z,40.782181,-73.878203,87.2,a365b7,N318NB,A319,AIRBUS A-319,0
takeoff,LGA,13,1700527247.72,2023-11-21T00:40:47Z,40.781983,-73.877844,120.9,a1ccec,N215JQ,E75L,EMBRAER ERJ-170-200 (long wing),0
takeoff,LGA,13,1700527360.77,2023-11-21T00:42:40Z,40.781857,-73.877563,120.9,a21bea,N235JQ,E75L,EMBRAER ERJ-170-200 (long wing),0
takeoff,LGA,04,1700527369.73,2023-11-21T00:42:49Z,40.781995,-73.878593,19.7,c00b8a,C-FEJP,E75S,EMBRAER ERJ-170-200 (short wing),0
landing,LGA,22,1700527370.38,2023-11-21T00:42:50Z,40.781536,-73.872452,210.9,ad44bc,N954NN,B738,BOEING 737-800,0
takeoff,LGA,13,1700527594.41,2023-11-21T00:46:34Z,40.782076,-73.878032,120.9,a781d7,N583JB,A320,AIRBUS A-320,0
landing,LGA,13,1700527609.64,2023-11-21T00:46:49Z,40.778961,-73.875473,106.9,ac78b0,N902XJ,CRJ9,BOMBARDIER Regional Jet CRJ-900,0
