type,airport,runway,timestamp,timestamp_iso,lat,lon,track_deg,icao,registration,aircraft_type,description,db_flags
takeoff,LGA,13,1757030417.46,2025-09-05T00:00:17Z,40.781857,-73.877594,123.8,a1be80,N211PB,GLEX,,8
landing,LGA,22,1757030488.79,2025-09-05T00:01:28Z,40.779353,-73.875753,210.9,ad9b28,N976NN,B738,BOEING 737-800,0
takeoff,JFK,04L,1757030521.77,2025-09-05T00:02:01Z,40.650182,-73.765906,30.9,a07bef,N130HQ,E75L,EMBRAER ERJ-170-200 (long wing),0
landing,JFK,22L,1757030546.45,2025-09-05T00:02:26Z,40.633458,-73.764064,210.9,896199,A6-EEZ,A388,AIRBUS A-380-800,0
takeoff,LGA,13,1757030566.01,2025-09-05T00:02:46Z,40.780186,-73.874115,123.8,a48e3a,N393DA,B738,BOEING 737-800,0
takeoff,JFK,22R,1757030571.29,2025-09-05T00:02:51Z,40.646609,-73.766374,210.9,a1cf6b,N2157J,A21N,AIRBUS A-321neo,0
takeoff,JFK,22R,1757030634.22,2025-09-05T00:03:54Z,40.647068,-73.766037,210.9,ad1cde,N944JT,A321,AIRBUS A-321,0
landing,JFK,22L,1757030701.17,2025-09-05T00:05:01Z,40.630394,-73.766479,210.9,a9c508,N729AN,B77W,BOEING 777-300ER,0
takeoff,JFK,22R,1757030770.61,2025-09-05T00:06:10Z,40.646539,-73.766452,210.9,a4dca4,N412MC,B744,BOEING 747-400,0
takeoff,LGA,13,1757030847.49,2025-09-05T00:07:27Z,40.779934,-73.873581,123.8,ac066b,N874NN,B738,BOEING 737-800,0
landing,JFK,22L,1757030873.41,2025-09-05T00:07:53Z,40.633656,-73.763931,210.9,acf54f,N934JB,A321,AIRBUS A-321,0
takeoff,JFK,22R,1757030892.26,2025-09-05T00:08:12Z,40.6474,-73.765778,210.9,a797b4,N589DT,A21N,AIRBUS A-321neo,0
takeoff,LGA,13,1757030904.94,2025-09-05T00:08:24Z,40.781651,-73.877151,123.8,abd7d1,N862RW,E170,EMBRAER ERJ-170-100,0
takeoff,LGA,13,1757030905.54,2025-09-05T00:08:25Z,40.781576,-73.877002,123.8,abd7d1,N862RW,E170,EMBRAER ERJ-170-100,0
takeoff,JFK,22R,1757030970.2,2025-09-05T00:09:30Z,40.646528,-73.766436,210.9,a120f3,N172DN,B763,BOEING 767-300,0
landing,JFK,22L,1757030977.96,2025-09-05T00:09:37Z,40.633644,-73.763955,210.9,a37af8,N323RM,B38M,BOEING 737 MAX 8,0
takeoff,LGA,13,1757030997.66,2025-09-05T00:09:57Z,40.779945,-73.873611,123.8,a0311d,N111NG,BCS1,AIRBUS A220-100,0
takeoff,JFK,22R,1757031067.47,2025-09-05T00:11:07Z,40.646599,-73.766403,210.9,4cabd1,EI-LRE,A21N,AIRBUS A-321neo,0
landing,JFK,22L,1757031074.82,2025-09-05T00:11:14Z,40.636402,-73.761765,210.9,a988f0,N713TW,B752,BOEING 757-200,0
landing,JFK,22L,1757031200.95,2025-09-05T00:13:20Z,40.632671,-73.764694,210.9,3c651a,D-AIHZ,A346,AIRBUS A-340-600,0
takeoff,JFK,22R,1757031224.86,2025-09-05T00:13:44Z,40.646576,-73.766403,210.9,a16ff1,N192DN,B763,BOEING 767-300,0
takeoff,JFK,22R,1757031337.97,2025-09-05T00:15:37Z,40.646873,-73.76619,208.1,a8f9a3,N678CA,CRJ9,BOMBARDIER Regional Jet CRJ-900,0
landing,JFK,22L,1757031420.42,2025-09-05T00:17:00Z,40.636228,-73.761895,210.9,ab6fbf,N836MH,B764,BOEING 767-400,0
takeoff,JFK,22R,1757031491.21,2025-09-05T00:18:11Z,40.646221,-73.766708,208.1,ab761e,N838AM,B39M,BOEING 737 MAX 9,0
landing,JFK,22L,1757031560.57,2025-09-05T00:19:20Z,40.634587,-73.763206,210.9,ab6b45,N835DN,B739,BOEING 737-900,0
takeoff,JFK,22R,1757031569.09,2025-09-05T00:19:29Z,40.646516,-73.766467,210.9,aac3f4,N793JB,A320,AIRBUS A-320,0
takeoff,LGA,13,1757031600.71,2025-09-05T00:20:00Z,40.779785,-73.87326,123.8,aa029c,N744NK,A21N,,0
takeoff,JFK,22R,1757031645.95,2025-09-05T00:20:45Z,40.647377,-73.765781,210.9,c03c44,C-FWVJ,B738,BOEING 737-800,0
landing,JFK,22L,1757031681.77,2025-09-05T00:21:21Z,40.632729,-73.764648,210.9,ad3cdf,N952JB,A321,AIRBUS A-321,0
takeoff,JFK,22R,1757031716.42,2025-09-05T00:21:56Z,40.646244,-73.766678,210.9,abb775,N854NW,A332,AIRBUS A-330-200,0
landing,JFK,22L,1757031796.33,2025-09-05T00:23:16Z,40.635053,-73.762816,212.4,48ae21,SP-LSB,B789,BOEING 787-9 Dreamliner,0
takeoff,JFK,22R,1757031826.19,2025-09-05T00:23:46Z,40.646493,-73.766467,210.9,a683a8,N519JB,A320,AIRBUS A-320,0
landing,JFK,22L,1757031918.9,2025-09-05T00:25:18Z,40.631035,-73.766022,213.8,89901a,B-18055,B77W,BOEING 777-300ER,0
landing,LGA,22,1757031970.99,2025-09-05T00:26:10Z,40.777037,-73.877626,213.8,a59b9c,N460WN,B737,BOEING 737-700,0
takeoff,JFK,22R,1757031980.76,2025-09-05T00:26:20Z,40.646051,-73.766811,210.9,4077d3,G-VTEA,A35K,AIRBUS A-350-1000,0
takeoff,JFK,22R,1757032088.95,2025-09-05T00:28:08Z,40.646816,-73.766235,210.9,a1a0a1,N2038J,A21N,AIRBUS A-321neo,0
landing,LGA,22,1757032094.42,2025-09-05T00:28:14Z,40.776455,-73.87811,210.9,a44c70,N3760C,B738,BOEING 737-800,0
landing,JFK,22L,1757032134.39,2025-09-05T00:28:54Z,40.639629,-73.759247,210.9,abfb7c,N871QS,C700,,0
takeoff,JFK,22R,1757032161.48,2025-09-05T00:29:21Z,40.646084,-73.766815,210.9,400685,G-VIIM,B772,BOEING 777-200,0
landing,JFK,22L,1757032222.18,2025-09-05T00:30:22Z,40.636694,-73.761567,210.9,aacf19,N796JB,A320,AIRBUS A-320,0
takeoff,LGA,13,1757032224.96,2025-09-05T00:30:24Z,40.780025,-73.873749,123.8,a9d605,N73283,B738,BOEING 737-800,0
takeoff,JFK,22R,1757032235.32,2025-09-05T00:30:35Z,40.647469,-73.765686,210.9,478854,LN-RKS,A333,AIRBUS A-330-300,0
takeoff,JFK,04L,1757032236.36,2025-09-05T00:30:36Z,40.651016,-73.765167,56.2,a1c57e,N213JQ,E75L,EMBRAER ERJ-170-200 (long wing),0
takeoff,LGA,13,1757032298.39,2025-09-05T00:31:38Z,40.780133,-73.873974,120.9,a43f51,N373DX,A321,AIRBUS A-321,0
landing,JFK,22L,1757032366.62,2025-09-05T00:32:46Z,40.632545,-73.76474,209.6,738100,4X-ERA,B788,BOEING 787-8 Dreamliner,0
takeoff,JFK,22R,1757032391.24,2025-09-05T00:33:11Z,40.646958,-73.766108,208.1,a3c662,N342SX,B38M,BOEING 737 MAX 8,0
landing,LGA,22,1757032467.52,2025-09-05T00:34:27Z,40.778378,-73.876526,210.9,a7bfa0,N599JB,A320,AIRBUS A-320,0
takeoff,JFK,22R,1757032467.55,2025-09-05T00:34:27Z,40.647238,-73.76589,210.9,ad8bed,N972JT,A321,AIRBUS A-321,0
landing,JFK,22L,1757032518.6,2025-09-05T00:35:18Z,40.633307,-73.764158,210.9,a19cc7,N2027J,A21N,AIRBUS A-321neo,0
takeoff,LGA,13,1757032576.92,2025-09-05T00:36:16Z,40.780203,-73.874115,123.8,a465df,N38257,B738,BOEING 737-800,0
takeoff,JFK,22R,1757032600.03,2025-09-05T00:36:40Z,40.646633,-73.766374,210.9,acd68a,N926XJ,CRJ9,BOMBARDIER Regional Jet CRJ-900,0
landing,JFK,22L,1757032601.39,2025-09-05T00:36:41Z,40.632318,-73.764954,210.9,71c011,HL8011,B77W,BOEING 777-300ER,0
takeoff,LGA,13,1757032660.32,2025-09-05T00:37:40Z,40.780237,-73.874208,123.8,a05b78,N122DN,A321,AIRBUS A-321,0
takeoff,JFK,22R,1757032674.12,2025-09-05T00:37:54Z,40.646793,-73.76622,210.9,a7bbe9,N598JB,A320,AIRBUS A-320,0
takeoff,LGA,13,1757032721.43,2025-09-05T00:38:41Z,40.781731,-73.877335,123.8,a1ff90,N228JQ,E75L,EMBRAER ERJ-170-200 (long wing),0
takeoff,JFK,22R,1757032741.7,2025-09-05T00:39:01Z,40.646819,-73.766233,210.9,ac9abc,N911DQ,B739,BOEING 737-900,0
landing,JFK,22L,1757032753.97,2025-09-05T00:39:13Z,40.635483,-73.762504,210.9,a7456c,N568JB,A320,AIRBUS A-320,0
takeoff,JFK,22R,1757032815.69,2025-09-05T00:40:15Z,40.646118,-73.766754,210.9,4b1881,HB-JHH,A333,AIRBUS A-330-300,0
landing,JFK,22L,1757032843.1,2025-09-05T00:40:43Z,40.636589,-73.761598,210.9,a69bcd,N525DA,A21N,AIRBUS A-321neo,0
landing,LGA,22,1757032859.23,2025-09-05T00:40:59Z,40.776246,-73.878281,210.9,ac8cf1,N908AN,B738,BOEING 737-800,0
landing,JFK,22L,1757032937.26,2025-09-05T00:42:17Z,40.63504,-73.762848,208.1,a9607d,N703JB,A320,AIRBUS A-320,0
takeoff,LGA,13,1757032959.5,2025-09-05T00:42:39Z,40.780128,-73.873978,123.8,aaea84,N802NN,B738,BOEING 737-800,0
takeoff,JFK,22R,1757032976.67,2025-09-05T00:42:56Z,40.646609,-73.766374,210.9,aaa02c,N784JB,A320,AIRBUS A-320,0
landing,JFK,22L,1757033015.85,2025-09-05T00:43:35Z,40.632832,-73.764572,212.4,47c968,LN-LNO,B789,BOEING 787-9 Dreamliner,0
landing,LGA,22,1757033039.36,2025-09-05T00:43:59Z,40.775862,-73.878625,210.9,a3c259,N341PQ,CRJ9,BOMBARDIER Regional Jet CRJ-900,0
takeoff,JFK,22R,1757033046.66,2025-09-05T00:44:06Z,40.646255,-73.766663,210.9,407be6,G-EIDY,A333,AIRBUS A-330-300,0
takeoff,LGA,13,1757033069.4,2025-09-05T00:44:29Z,40.779854,-73.873398,123.8,a022c4,N108DN,A321,AIRBUS A-321,0
takeoff,JFK,22R,1757033137.71,2025-09-05T00:45:37Z,40.646164,-73.766739,210.9,a9b9e3,N726AN,B77W,BOEING 777-300ER,0
landing,JFK,22L,1757033152.59,2025-09-05T00:45:52Z,40.63532,-73.762644,208.1,aa600a,N768JB,A320,AIRBUS A-320,0
landing,LGA,22,1757033244.52,2025-09-05T00:47:24Z,40.778778,-73.876175,210.9,a35af8,N315SD,B38M,BOEING 737 MAX 8,0
landing,JFK,22L,1757033248.87,2025-09-05T00:47:28Z,40.635553,-73.762426,210.9,a033ae,N112AN,A321,AIRBUS A-321,0
takeoff,LGA,13,1757033268.35,2025-09-05T00:47:48Z,40.780447,-73.87463,120.9,a4493a,N37532,B39M,,0
takeoff,JFK,22R,1757033281.28,2025-09-05T00:48:01Z,40.646039,-73.766842,210.9,4079cc,G-VLIB,A35K,AIRBUS A-350-1000,0
landing,JFK,22L,1757033336.09,2025-09-05T00:48:56Z,40.635075,-73.762802,210.9,a874e1,N644JB,A320,AIRBUS A-320,0
takeoff,JFK,22R,1757033396.6,2025-09-05T00:49:56Z,40.645248,-73.767441,210.9,a4c703,N407DX,A339,AIRBUS A-330-900,0
landing,JFK,22L,1757033477.16,2025-09-05T00:51:17Z,40.635437,-73.762535,210.9,a8e1f6,N6711M,B752,BOEING 757-200,0
takeoff,JFK,22R,1757033567.81,2025-09-05T00:52:47Z,40.646862,-73.766174,210.9,a3b3df,N338DN,A321,AIRBUS A-321,0
landing,JFK,22L,1757033581.21,2025-09-05T00:53:01Z,40.632713,-73.764673,210.9,aae6d5,N801NW,A333,AIRBUS A-330-300,0
takeoff,LGA,13,1757033637.91,2025-09-05T00:53:57Z,40.779888,-73.873459,123.8,a057cc,N121DZ,A321,AIRBUS A-321,0
takeoff,JFK,22R,1757033637.92,2025-09-05T00:53:57Z,40.645924,-73.766891,210.9,aa944a,N781AN,B772,BOEING 777-200,0
landing,JFK,22L,1757033694.61,2025-09-05T00:54:54Z,40.632795,-73.764595,210.9,394a01,F-GSQB,B77W,BOEING 777-300ER,0
landing,LGA,22,1757033753.27,2025-09-05T00:55:53Z,40.776839,-73.877798,210.9,a98f6a,N715JB,A320,AIRBUS A-320,0
takeoff,LGA,13,1757033779.68,2025-09-05T00:56:19Z,40.780237,-73.874208,123.8,a042db,N116DU,BCS1,AIRBUS A220-100,0
takeoff,JFK,22R,1757033806.56,2025-09-05T00:56:46Z,40.646072,-73.766815,210.9,a50370,N422DZ,A339,AIRBUS A-330-900,0
