type,airport,runway,timestamp,timestamp_iso,lat,lon,track_deg,icao,registration,aircraft_type,description,db_flags
takeoff,JFK,31L,1759536044.87,2025-10-04T00:00:44Z,40.635727,-73.788834,298.1,ab678e,N834DN,B739,BOEING 737-900,0
takeoff,JFK,22R,1759536103.14,2025-10-04T00:01:43Z,40.646839,-73.766205,210.9,ab9de9,N848DN,B739,BOEING 737-900,0
landing,LGA,22,1759536156.54,2025-10-04T00:02:36Z,40.777014,-73.877657,213.8,a5e02d,N478PX,CRJ9,BOMBARDIER Regional Jet CRJ-900,0
takeoff,JFK,22R,1759536168.05,2025-10-04T00:02:48Z,40.646563,-73.766421,210.9,a65454,N507DZ,A21N,AIRBUS A-321neo,0
landing,JFK,22L,1759536171.71,2025-10-04T00:02:51Z,40.637215,-73.761108,210.9,a37e80,N324PQ,CRJ9,BOMBARDIER Regional Jet CRJ-900,0
takeoff,LGA,13,1759536174.53,2025-10-04T00:02:54Z,40.779737,-73.873163,123.8,a4008e,N357TY,B38M,,0
landing,JFK,22L,1759536240.03,2025-10-04T00:04:00Z,40.635704,-73.762347,210.9,3c64f8,D-AIGX,A343,AIRBUS A-340-300,0
landing,LGA,22,1759536248.04,2025-10-04T00:04:08Z,40.775574,-73.878815,210.9,ad63a1,N962AN,B738,BOEING 737-800,0
takeoff,LGA,13,1759536250.77,2025-10-04T00:04:10Z,40.781494,-73.876861,123.8,abc2e5,N857RW,E170,EMBRAER ERJ-170-100,0
takeoff,JFK,22R,1759536301.41,2025-10-04T00:05:01Z,40.646027,-73.766842,210.9,a54137,N438DX,A339,AIRBUS A-330-900,0
landing,LGA,22,1759536335.66,2025-10-04T00:05:35Z,40.777119,-73.877548,213.8,a445f8,N3747D,B738,BOEING 737-800,0
landing,JFK,22L,1759536363.88,2025-10-04T00:06:03Z,40.63575,-73.762299,210.9,a3ca1a,N343SY,B38M,BOEING 737 MAX 8,0
takeoff,JFK,22R,1759536366.96,2025-10-04T00:06:06Z,40.647629,-73.765594,212.4,7c8068,VH-ZNE,B789,BOEING 787-9 Dreamliner,0
landing,LGA,22,1759536473.02,2025-10-04T00:07:53Z,40.777351,-73.877361,210.9,a310cf,N297PQ,CRJ9,BOMBARDIER Regional Jet CRJ-900,0
takeoff,LGA,13,1759536478.07,2025-10-04T00:07:58Z,40.781692,-73.877267,123.8,a51b93,N428YX,E75L,EMBRAER ERJ-170-200 (long wing),0
takeoff,JFK,22R,1759536480.02,2025-10-04T00:08:00Z,40.64661,-73.766373,210.9,ab63d7,N833DN,B739,BOEING 737-900,0
landing,JFK,22L,1759536518.75,2025-10-04T00:08:38Z,40.633901,-73.763783,216.6,a9fa5c,N742E,CL30,BOMBARDIER BD-100 Challenger 300,8
takeoff,JFK,31L,1759536546.48,2025-10-04T00:09:06Z,40.636311,-73.790115,300.9,ac878c,N906XJ,CRJ9,BOMBARDIER Regional Jet CRJ-900,0
takeoff,LGA,13,1759536558.41,2025-10-04T00:09:18Z,40.780128,-73.873993,123.8,ac801e,N904XJ,CRJ9,BOMBARDIER Regional Jet CRJ-900,0
takeoff,JFK,22R,1759536596.0,2025-10-04T00:09:56Z,40.646912,-73.76614,210.9,a3dc5a,N348PQ,CRJ9,BOMBARDIER Regional Jet CRJ-900,0
takeoff,LGA,13,1759536620.74,2025-10-04T00:10:20Z,40.781518,-73.876892,123.8,a1c935,N214JQ,E75L,EMBRAER ERJ-170-200 (long wing),0
landing,LGA,22,1759536624.84,2025-10-04T00:10:24Z,40.774256,-73.879795,196.9,a8a490,N656RW,E170,EMBRAER ERJ-170-100,0
landing,JFK,22L,1759536629.21,2025-10-04T00:10:29Z,40.636688,-73.761551,210.9,780aa5,B-LRE,A359,AIRBUS A-350-900,0
takeoff,JFK,22L,1759536629.21,2025-10-04T00:10:29Z,40.636688,-73.761551,210.9,780aa5,B-LRE,A359,AIRBUS A-350-900,0
landing,JFK,22L,1759536629.59,2025-10-04T00:10:29Z,40.636539,-73.761658,210.9,780aa5,B-LRE,A359,AIRBUS A-350-900,0
takeoff,JFK,31L,1759536682.41,2025-10-04T00:11:22Z,40.635425,-73.788159,298.1,a779eb,N581DA,A21N,,0
landing,LGA,22,1759536693.39,2025-10-04T00:11:33Z,40.774209,-73.879826,196.9,a1be10,N211JQ,E75L,EMBRAER ERJ-170-200 (long wing),0
takeoff,LGA,13,1759536700.86,2025-10-04T00:11:40Z,40.779945,-73.873642,123.8,a06e0b,N127DN,A321,AIRBUS A-321,0
landing,JFK,22L,1759536721.67,2025-10-04T00:12:01Z,40.632511,-73.764832,209.6,48ae23,SP-LSD,B789,BOEING 787-9 Dreamliner,0
landing,LGA,22,1759536762.05,2025-10-04T00:12:42Z,40.779237,-73.875816,210.9,a0a6c5,N141DU,BCS1,AIRBUS A220-100,0
takeoff,LGA,13,1759536774.79,2025-10-04T00:12:54Z,40.781937,-73.877782,123.8,a1c57e,N213JQ,E75L,EMBRAER ERJ-170-200 (long wing),0
takeoff,JFK,31L,1759536813.7,2025-10-04T00:13:33Z,40.635544,-73.788437,298.1,a04641,N117AN,A321,AIRBUS A-321,0
takeoff,JFK,22R,1759536833.9,2025-10-04T00:13:53Z,40.64756,-73.76564,210.9,a402dd,N358DN,A321,AIRBUS A-321,0
landing,LGA,22,1759536864.21,2025-10-04T00:14:24Z,40.776409,-73.878143,208.1,a1584a,N186PQ,CRJ9,BOMBARDIER Regional Jet CRJ-900,0
takeoff,LGA,13,1759536881.13,2025-10-04T00:14:41Z,40.779888,-73.87349,123.8,ac96b8,N910AN,B738,BOEING 737-800,0
takeoff,JFK,22R,1759536900.81,2025-10-04T00:15:00Z,40.647529,-73.765671,210.9,a4c98f,N4074J,A21N,AIRBUS A-321neo,0
landing,JFK,22L,1759536907.46,2025-10-04T00:15:07Z,40.637764,-73.760709,210.9,a7b057,N595DT,A21N,,0
takeoff,LGA,13,1759536946.2,2025-10-04T00:15:46Z,40.78149,-73.876831,123.8,abdb88,N863RW,E170,EMBRAER ERJ-170-100,0
takeoff,JFK,31L,1759536980.59,2025-10-04T00:16:20Z,40.635483,-73.788346,298.1,a721a4,N559JB,A320,AIRBUS A-320,0
takeoff,JFK,22R,1759536983.69,2025-10-04T00:16:23Z,40.647517,-73.765671,210.9,781ebb,B-222V,B77L,BOEING 777-200LR,0
landing,LGA,22,1759537026.3,2025-10-04T00:17:06Z,40.77514,-73.879155,210.9,a06aba,N126HQ,E75L,EMBRAER ERJ-170-200 (long wing),0
takeoff,LGA,13,1759537032.77,2025-10-04T00:17:12Z,40.780575,-73.874926,123.8,a82a06,N625NK,A320,AIRBUS A-320,0
landing,JFK,22L,1759537088.88,2025-10-04T00:18:08Z,40.633761,-73.763924,216.6,a24369,N245JQ,E75L,EMBRAER ERJ-170-200 (long wing),0
landing,LGA,22,1759537098.11,2025-10-04T00:18:18Z,40.775345,-73.879028,210.9,a1239c,N17244,B738,BOEING 737-800,0
takeoff,JFK,31L,1759537113.4,2025-10-04T00:18:33Z,40.635441,-73.788208,300.9,a9bf4b,N727TW,B752,BOEING 757-200,0
takeoff,JFK,22R,1759537119.74,2025-10-04T00:18:39Z,40.646551,-73.766436,210.9,a37d8d,N324DX,A321,AIRBUS A-321,0
takeoff,LGA,13,1759537182.92,2025-10-04T00:19:42Z,40.781754,-73.877396,123.8,a51f4a,N429YX,E75L,EMBRAER ERJ-170-200 (long wing),0
landing,JFK,22L,1759537184.35,2025-10-04T00:19:44Z,40.636333,-73.761801,210.9,ac89f7,N907JB,A321,AIRBUS A-321,0
takeoff,JFK,22R,1759537188.38,2025-10-04T00:19:48Z,40.64683,-73.766202,210.9,a776b2,N580JB,A320,AIRBUS A-320,0
takeoff,JFK,31L,1759537249.11,2025-10-04T00:20:49Z,40.635786,-73.788955,298.1,a39ada,N331PQ,CRJ9,BOMBARDIER Regional Jet CRJ-900,0
landing,LGA,22,1759537259.77,2025-10-04T00:20:59Z,40.778744,-73.876221,210.9,a45ba2,N380DN,A321,AIRBUS A-321,0
landing,JFK,22L,1759537276.89,2025-10-04T00:21:16Z,40.635521,-73.762466,210.9,a00d5b,N102NN,A321,AIRBUS A-321,0
takeoff,LGA,13,1759537345.87,2025-10-04T00:22:25Z,40.781467,-73.876755,123.8,ac1f61,N880RW,E170,EMBRAER ERJ-170-100,0
