type,airport,runway,timestamp,timestamp_iso,lat,lon,track_deg,icao,registration,aircraft_type,description,db_flags
takeoff,LGA,22,1699833673.62,2023-11-13T00:01:13Z,40.776569,-73.875671,210.9,ac801e,N904XJ,CRJ9,BOMBARDIER Regional Jet CRJ-900,0
takeoff,LGA,13,1699833679.51,2023-11-13T00:01:19Z,40.780174,-73.874084,120.9,a145b7,N181PQ,CRJ9,BOMBARDIER Regional Jet CRJ-900,0
takeoff,LGA,31,1699833755.21,2023-11-13T00:02:35Z,40.776897,-73.871009,300.9,a61219,N490WN,B737,BOEING 737-700,0
landing,LGA,13,1699833783.38,2023-11-13T00:03:03Z,40.778271,-73.872538,106.9,a537ed,N435YX,E75L,EMBRAER ERJ-170-200 (long wing),0
takeoff,LGA,31,1699833836.09,2023-11-13T00:03:56Z,40.781181,-73.87851,345.9,a20347,N229JQ,E75L,EMBRAER ERJ-170-200 (long wing),0
landing,LGA,13,1699833952.63,2023-11-13T00:05:52Z,40.778355,-73.873306,78.8,a7cfb7,N602LR,CRJ9,BOMBARDIER Regional Jet CRJ-900,0
takeoff,LGA,13,1699834010.15,2023-11-13T00:06:50Z,40.779155,-73.871945,120.9,a3dc5a,N348PQ,CRJ9,BOMBARDIER Regional Jet CRJ-900,0
takeoff,LGA,13,1699834035.27,2023-11-13T00:07:15Z,40.775539,-73.866745,112.5,a7cfb7,N602LR,CRJ9,BOMBARDIER Regional Jet CRJ-900,0
landing,LGA,22,1699834118.38,2023-11-13T00:08:38Z,40.780437,-73.873322,210.9,a8aba8,N658NK,A321,AIRBUS A-321,0
landing,LGA,13,1699834121.96,2023-11-13T00:08:41Z,40.778206,-73.872421,109.7,a7ef08,N610CZ,E75L,EMBRAER ERJ-170-200 (long wing),0
takeoff,LGA,13,1699834275.94,2023-11-13T00:11:15Z,40.782177,-73.878235,81.6,ab184d,N814AW,A319,AIRBUS A-319,0
landing,LGA,22,1699834303.04,2023-11-13T00:11:43Z,40.781937,-73.872148,168.8,aa7833,N774DE,B738,BOEING 737-800,0
landing,LGA,22,1699834326.68,2023-11-13T00:12:06Z,40.780106,-73.873596,210.9,ad01c0,N937XJ,CRJ9,BOMBARDIER Regional Jet CRJ-900,0
takeoff,LGA,13,1699834369.5,2023-11-13T00:12:49Z,40.778143,-73.872148,120.9,ad01c0,N937XJ,CRJ9,BOMBARDIER Regional Jet CRJ-900,0
