type,airport,runway,timestamp,timestamp_iso,lat,lon,track_deg,icao,registration,aircraft_type,description,db_flags
takeoff,LGA,22,1733529716.06,2024-12-07T00:01:56Z,40.776787,-73.880325,212.4,a58d8c,N457QS,E55P,EMBRAER EMB-505 Phenom 300,0
takeoff,LGA,22,1733529808.53,2024-12-07T00:03:28Z,40.778,-73.875031,239.1,a4e181,N413YX,E75L,EMBRAER ERJ-170-200 (long wing),0
landing,LGA,13,1733529815.44,2024-12-07T00:03:35Z,40.776211,-73.868185,123.8,a46310,N382DN,A321,AIRBUS A-321,0
takeoff,JFK,31L,1733529821.64,2024-12-07T00:03:41Z,40.630016,-73.77623,300.9,ad526b,N958AM,B738,BOEING 737-800,0
landing,JFK,13L,1733529833.15,2024-12-07T00:03:53Z,40.649998,-73.777908,120.9,a39ada,N331PQ,CRJ9,BOMBARDIER Regional Jet CRJ-900,0
landing,JFK,31R,1733529845.12,2024-12-07T00:04:05Z,40.651165,-73.775681,300.9,a88774,N649JB,A320,AIRBUS A-320,0
takeoff,JFK,31L,1733529884.83,2024-12-07T00:04:44Z,40.629746,-73.775628,300.9,a7e20a,N607JB,A320,AIRBUS A-320,0
takeoff,JFK,31L,1733529941.62,2024-12-07T00:05:41Z,40.629664,-73.775456,300.9,a305aa,N294PQ,CRJ9,BOMBARDIER Regional Jet CRJ-900,0
landing,JFK,31R,1733529944.68,2024-12-07T00:05:44Z,40.651073,-73.775467,300.9,4caeb8,EI-TYB,A339,AIRBUS A-330-900,0
takeoff,JFK,31L,1733529998.7,2024-12-07T00:06:38Z,40.629765,-73.775665,300.9,44ccd0,OO-SFP,A333,AIRBUS A-330-300,0
landing,JFK,13R,1733530014.33,2024-12-07T00:06:54Z,40.633586,-73.781293,120.9,a34d2f,N3112J,BCS3,AIRBUS A220-300,0
landing,LGA,22,1733530022.02,2024-12-07T00:07:02Z,40.778992,-73.873131,244.7,a55f6c,N445YX,E75L,EMBRAER ERJ-170-200 (long wing),0
landing,JFK,31R,1733530094.42,2024-12-07T00:08:14Z,40.651148,-73.775597,300.9,aca29a,N913JB,A321,AIRBUS A-321,0
landing,JFK,31R,1733530213.38,2024-12-07T00:10:13Z,40.653138,-73.782151,272.8,ab284d,N818NN,B738,BOEING 737-800,0
takeoff,JFK,31L,1733530219.88,2024-12-07T00:10:19Z,40.62999,-73.776221,302.4,4074d4,G-CKWD,B789,BOEING 787-9 Dreamliner,0
takeoff,JFK,31R,1733530241.67,2024-12-07T00:10:41Z,40.653592,-73.784476,258.8,ab284d,N818NN,B738,BOEING 737-800,0
landing,JFK,31L,1733530264.93,2024-12-07T00:11:04Z,40.643543,-73.802185,300.9,aa6922,N770BB,B752,BOEING 757-200,8
landing,JFK,31R,1733530349.69,2024-12-07T00:12:29Z,40.65247,-73.781372,300.9,a517dc,N427YX,E75L,EMBRAER ERJ-170-200 (long wing),0
landing,LGA,31,1733530366.02,2024-12-07T00:12:46Z,40.779671,-73.873016,298.1,a44d1c,N3765,B738,BOEING 737-800,0
landing,JFK,31R,1733530367.11,2024-12-07T00:12:47Z,40.651008,-73.775316,300.9,7805aa,B-2075,B77L,BOEING 777-200LR,0
