type,airport,runway,timestamp,timestamp_iso,lat,lon,track_deg,icao,registration,aircraft_type,description,db_flags
takeoff,JFK,31L,1729036830.46,2024-10-16T00:00:30Z,40.62846,-73.772812,298.1,ab80f4,N840MH,B764,BOEING 767-400,0
takeoff,LGA,31,1729036930.09,2024-10-16T00:02:10Z,40.780086,-73.876221,303.8,a93e7f,N695NK,A320,AIRBUS A-320,0
landing,JFK,31R,1729036989.81,2024-10-16T00:03:09Z,40.651078,-73.775487,300.9,49526a,CS-TSJ,A21N,AIRBUS A-321neo,0
takeoff,JFK,31L,1729036990.7,2024-10-16T00:03:10Z,40.62973,-73.77562,300.9,a4bef6,N4048J,A21N,AIRBUS A-321neo,0
takeoff,JFK,31L,1729037053.18,2024-10-16T00:04:13Z,40.629769,-73.77569,300.9,ab40f8,N824NW,A333,AIRBUS A-330-300,0
takeoff,LGA,22,1729037119.77,2024-10-16T00:05:19Z,40.776913,-73.875381,213.8,a35854,N3142J,BCS3,AIRBUS A220-300,0
takeoff,JFK,31L,1729037138.1,2024-10-16T00:05:38Z,40.629711,-73.775534,300.9,a4ffb7,N421DX,A339,AIRBUS A-330-900,0
takeoff,JFK,22L,1729037254.59,2024-10-16T00:07:34Z,40.632865,-73.769464,180.0,a33743,N306SY,E75L,EMBRAER ERJ-170-200 (long wing),0
takeoff,JFK,31L,1729037273.15,2024-10-16T00:07:53Z,40.628989,-73.773974,300.9,a1cf6b,N2157J,A21N,AIRBUS A-321neo,0
landing,JFK,31R,1729037290.52,2024-10-16T00:08:10Z,40.651257,-73.775894,300.9,ac8289,N905JB,A321,AIRBUS A-321,0
landing,JFK,22R,1729037313.46,2024-10-16T00:08:33Z,40.645597,-73.769869,180.0,a389f8,N327SY,E75L,,0
takeoff,JFK,22L,1729037452.03,2024-10-16T00:10:52Z,40.630758,-73.769869,205.3,a06aba,N126HQ,E75L,EMBRAER ERJ-170-200 (long wing),0
landing,JFK,31R,1729037459.46,2024-10-16T00:10:59Z,40.651085,-73.775497,302.3,440184,OE-LPM,B789,BOEING 787-9 Dreamliner,0
takeoff,JFK,31R,1729037459.46,2024-10-16T00:10:59Z,40.651085,-73.775497,302.3,440184,OE-LPM,B789,BOEING 787-9 Dreamliner,0
takeoff,JFK,31L,1729037476.71,2024-10-16T00:11:16Z,40.628605,-73.773115,300.9,4ba94e,TC-JJN,B77W,BOEING 777-300ER,0
landing,LGA,13,1729037519.11,2024-10-16T00:11:59Z,40.777433,-73.870681,120.9,a5106e,N425YX,E75L,EMBRAER ERJ-170-200 (long wing),0
takeoff,LGA,13,1729037519.11,2024-10-16T00:11:59Z,40.777433,-73.870681,120.9,a5106e,N425YX,E75L,EMBRAER ERJ-170-200 (long wing),0
landing,JFK,22R,1729037567.96,2024-10-16T00:12:47Z,40.646446,-73.769885,168.8,a7de93,N606LR,CRJ9,BOMBARDIER Regional Jet CRJ-900,0
takeoff,JFK,31L,1729037574.52,2024-10-16T00:12:54Z,40.630677,-73.777688,300.9,34520f,EC-MNL,A332,AIRBUS A-330-200,0
takeoff,LGA,04,1729037660.59,2024-10-16T00:14:20Z,40.769428,-73.88382,64.7,a90bdb,N682NK,A321,AIRBUS A-321,0
landing,JFK,13R,1729037705.8,2024-10-16T00:15:05Z,40.633866,-73.781901,120.9,a9b06f,N723TW,B752,BOEING 757-200,0
landing,JFK,31R,1729037710.41,2024-10-16T00:15:10Z,40.652126,-73.777672,300.9,a1a0c4,N2039J,A21N,AIRBUS A-321neo,0
takeoff,JFK,31L,1729037766.05,2024-10-16T00:16:06Z,40.628535,-73.772959,298.1,a3ec93,N352DN,A321,AIRBUS A-321,0
takeoff,JFK,31L,1729037857.03,2024-10-16T00:17:37Z,40.629982,-73.776123,300.9,a189f2,N199DN,B763,BOEING 767-300,0
landing,JFK,13L,1729037860.31,2024-10-16T00:17:40Z,40.650524,-73.777069,120.9,a32bcb,N303PQ,CRJ9,BOMBARDIER Regional Jet CRJ-900,0
takeoff,JFK,13R,1729037865.93,2024-10-16T00:17:45Z,40.630584,-73.772554,120.9,a50cb7,N424YX,E75L,EMBRAER ERJ-170-200 (long wing),0
takeoff,LGA,22,1729037866.51,2024-10-16T00:17:46Z,40.770206,-73.881851,222.2,a3b4c8,N338NW,A320,AIRBUS A-320,0
takeoff,JFK,31L,1729037928.47,2024-10-16T00:18:48Z,40.629009,-73.774002,300.9,ab0e54,N811NW,A333,AIRBUS A-330-300,0
landing,JFK,31R,1729037945.23,2024-10-16T00:19:05Z,40.653138,-73.782838,300.9,a52911,N431YX,E75L,EMBRAER ERJ-170-200 (long wing),0
takeoff,JFK,13R,1729037946.33,2024-10-16T00:19:06Z,40.633482,-73.781027,118.1,aced4c,N932CC,F900,DASSAULT Falcon 900,8
landing,JFK,31R,1729037967.19,2024-10-16T00:19:27Z,40.650869,-73.775019,300.9,789234,B-LQB,A359,AIRBUS A-350-900,0
takeoff,JFK,31L,1729038000.11,2024-10-16T00:20:00Z,40.628918,-73.773788,300.9,a17ecd,N196DN,B763,BOEING 767-300,0
landing,JFK,31R,1729038170.3,2024-10-16T00:22:50Z,40.655431,-73.785085,300.9,a4dca4,N412MC,B744,BOEING 747-400,0
takeoff,JFK,31L,1729038205.36,2024-10-16T00:23:25Z,40.629676,-73.775456,300.9,a9acb8,N722TW,B752,BOEING 757-200,0
