type,airport,runway,timestamp,timestamp_iso,lat,lon,track_deg,icao,registration,aircraft_type,description,db_flags
takeoff,LGA,31,1686183068.91,2023-06-08T00:11:08Z,40.772758,-73.858505,303.8,a00c7a,N102DN,A321,AIRBUS A-321,0
landing,LGA,13,1686184739.92,2023-06-08T00:38:59Z,40.773525,-73.864136,120.9,a091f3,N136EV,CRJ9,BOMBARDIER Regional Jet CRJ-900,0
takeoff,LGA,13,1686184739.92,2023-06-08T00:38:59Z,40.773522,-73.864127,120.9,a091f3,N136EV,CRJ9,BOMBARDIER Regional Jet CRJ-900,0
landing,LGA,04,1686187581.2,2023-06-08T01:26:21Z,40.773056,-73.879395,53.4,acb2c2,N917XJ,CRJ9,BOMBARDIER Regional Jet CRJ-900,0
takeoff,LGA,04,1686187581.2,2023-06-08T01:26:21Z,40.773056,-73.879395,53.4,acb2c2,N917XJ,CRJ9,BOMBARDIER Regional Jet CRJ-900,0
landing,JFK,04L,1686188737.88,2023-06-08T01:45:37Z,40.637592,-73.774048,5.6,aacf19,N796JB,A320,AIRBUS A-320,0
takeoff,JFK,04L,1686188737.88,2023-06-08T01:45:37Z,40.637592,-73.774048,5.6,aacf19,N796JB,A320,AIRBUS A-320,0
landing,LGA,22,1686190872.3,2023-06-08T02:21:12Z,40.777177,-73.877517,213.8,a1ba59,N210JQ,E75L,EMBRAER ERJ-170-200 (long wing),0
takeoff,LGA,22,1686190872.75,2023-06-08T02:21:12Z,40.777004,-73.877625,210.9,a1ba59,N210JQ,E75L,EMBRAER ERJ-170-200 (long wing),0
landing,JFK,04R,1686192460.88,2023-06-08T02:47:40Z,40.642033,-73.758606,2.8,a1cc1f,N215AK,B739,BOEING 737-900,0
takeoff,JFK,31R,1686192477.87,2023-06-08T02:47:57Z,40.64285,-73.759617,284.1,a1cc1f,N215AK,B739,BOEING 737-900,0
landing,JFK,31R,1686194598.93,2023-06-08T03:23:18Z,40.642845,-73.759949,267.2,a32437,N301NB,A319,AIRBUS A-319,0
takeoff,JFK,31R,1686194600.9,2023-06-08T03:23:20Z,40.642811,-73.760132,258.8,a32437,N301NB,A319,AIRBUS A-319,0
landing,JFK,31R,1686195164.92,2023-06-08T03:32:44Z,40.647424,-73.761973,295.3,a33741,N306SW,B38M,BOEING 737 MAX 8,0
takeoff,JFK,31R,1686195164.92,2023-06-08T03:32:44Z,40.647424,-73.761973,295.3,a33741,N306SW,B38M,BOEING 737 MAX 8,0
landing,JFK,31R,1686196683.13,2023-06-08T03:58:03Z,40.642617,-73.75893,323.4,abf6ae,N870DN,B739,BOEING 737-900,0
takeoff,JFK,31R,1686196683.13,2023-06-08T03:58:03Z,40.642617,-73.75893,323.4,abf6ae,N870DN,B739,BOEING 737-900,0
landing,JFK,04R,1686215169.88,2023-06-08T09:06:09Z,40.641791,-73.758649,0.0,a19910,N2017J,A21N,AIRBUS A-321neo,0
takeoff,JFK,04R,1686215169.88,2023-06-08T09:06:09Z,40.641791,-73.758649,0.0,a19910,N2017J,A21N,AIRBUS A-321neo,0
landing,JFK,22R,1686216726.9,2023-06-08T09:32:06Z,40.635899,-73.777634,213.8,abbe4a,N856GT,B748,BOEING 747-8,0
takeoff,JFK,22R,1686216726.9,2023-06-08T09:32:06Z,40.635899,-73.777634,213.8,abbe4a,N856GT,B748,BOEING 747-8,0
landing,LGA,13,1686219242.85,2023-06-08T10:14:02Z,40.77071,-73.860077,84.4,acda41,N927XJ,CRJ9,BOMBARDIER Regional Jet CRJ-900,0
takeoff,LGA,13,1686219244.96,2023-06-08T10:14:04Z,40.770718,-73.860007,84.4,acda41,N927XJ,CRJ9,BOMBARDIER Regional Jet CRJ-900,0
landing,JFK,31R,1686226437.84,2023-06-08T12:13:57Z,40.642811,-73.759979,261.6,a008c5,N101DQ,A321,AIRBUS A-321,0
takeoff,JFK,31R,1686226440.06,2023-06-08T12:14:00Z,40.642788,-73.760193,258.8,a008c5,N101DQ,A321,AIRBUS A-321,0
