type,airport,runway,timestamp,timestamp_iso,lat,lon,track_deg,icao,registration,aircraft_type,description,db_flags
takeoff,LGA,13,1741132802.22,2025-03-05T00:00:02Z,40.781273,-73.876377,123.8,a35ec2,N316SY,E75L,EMBRAER ERJ-170-200 (long wing),0
landing,JFK,22L,1741132882.15,2025-03-05T00:01:22Z,40.635088,-73.762816,208.1,a03765,N113AN,A321,AIRBUS A-321,0
takeoff,LGA,13,1741132884.14,2025-03-05T00:01:24Z,40.7799,-73.873505,123.8,a5ee51,N481WN,B737,BOEING 737-700,0
landing,LGA,22,1741132950.51,2025-03-05T00:02:30Z,40.778732,-73.876221,210.9,a34bdc,N311PQ,CRJ9,BOMBARDIER Regional Jet CRJ-900,0
takeoff,JFK,22R,1741132980.49,2025-03-05T00:03:00Z,40.646908,-73.766144,210.9,a37517,N3215J,BCS3,,0
landing,LGA,22,1741133027.9,2025-03-05T00:03:47Z,40.778538,-73.876404,210.9,a1277a,N17358,B38M,,0
landing,JFK,22L,1741133038.29,2025-03-05T00:03:58Z,40.634171,-73.763535,210.9,a1ba59,N210JQ,E75L,EMBRAER ERJ-170-200 (long wing),0
takeoff,JFK,22R,1741133051.93,2025-03-05T00:04:11Z,40.64732,-73.765823,210.9,4cabd2,EI-LRF,A21N,AIRBUS A-321neo,0
landing,JFK,22L,1741133107.48,2025-03-05T00:05:07Z,40.639464,-73.759382,210.9,a35854,N3142J,BCS3,AIRBUS A220-300,0
takeoff,JFK,22R,1741133116.55,2025-03-05T00:05:16Z,40.647503,-73.765701,209.6,e8027b,CC-BBG,B788,BOEING 787-8 Dreamliner,0
landing,LGA,22,1741133145.99,2025-03-05T00:05:45Z,40.776083,-73.878422,210.9,a8996b,N653RW,E170,EMBRAER ERJ-170-100,0
takeoff,LGA,13,1741133147.89,2025-03-05T00:05:47Z,40.781685,-73.877213,123.8,a1d811,N218JQ,E75L,EMBRAER ERJ-170-200 (long wing),0
landing,JFK,22L,1741133196.78,2025-03-05T00:06:36Z,40.635086,-73.762802,210.9,899019,B-18053,B77W,BOEING 777-300ER,0
landing,LGA,22,1741133222.37,2025-03-05T00:07:02Z,40.775974,-73.87854,210.9,a06e11,N127DU,BCS1,AIRBUS A220-100,0
takeoff,JFK,22R,1741133247.44,2025-03-05T00:07:27Z,40.647434,-73.765732,210.9,407995,G-STBP,B77W,BOEING 777-300ER,0
landing,LGA,22,1741133313.84,2025-03-05T00:08:33Z,40.776734,-73.877876,213.8,accf1c,N924XJ,CRJ9,BOMBARDIER Regional Jet CRJ-900,0
takeoff,LGA,13,1741133326.54,2025-03-05T00:08:46Z,40.779981,-73.873678,123.8,a8f235,N676CA,CRJ9,BOMBARDIER Regional Jet CRJ-900,0
landing,JFK,22L,1741133375.3,2025-03-05T00:09:35Z,40.63567,-73.762363,210.9,a51968,N428AS,B739,BOEING 737-900,0
takeoff,JFK,22R,1741133417.7,2025-03-05T00:10:17Z,40.647423,-73.765747,210.9,a33ca9,N3077J,BCS3,AIRBUS A220-300,0
