type,airport,runway,timestamp,timestamp_iso,lat,lon,track_deg,icao,registration,aircraft_type,description,db_flags
landing,LGA,13,1678493726.87,2023-03-11T00:15:26Z,40.77187,-73.860928,146.2,a40d8d,N360NW,A320,AIRBUS A-320,0
takeoff,LGA,13,1678493726.87,2023-03-11T00:15:26Z,40.77187,-73.860928,146.2,a40d8d,N360NW,A320,AIRBUS A-320,0
landing,LGA,13,1678497354.84,2023-03-11T01:15:54Z,40.771843,-73.860931,154.7,a423d7,N366NW,A320,AIRBUS A-320,0
takeoff,LGA,13,1678497354.84,2023-03-11T01:15:54Z,40.771843,-73.860931,154.7,a423d7,N366NW,A320,AIRBUS A-320,0
landing,LGA,04,1678498888.95,2023-03-11T01:41:28Z,40.776489,-73.876602,28.1,ab40ce,N824MD,E170,EMBRAER ERJ-170-100,0
takeoff,LGA,04,1678498888.95,2023-03-11T01:41:28Z,40.77649,-73.876596,28.1,ab40ce,N824MD,E170,EMBRAER ERJ-170-100,0
landing,LGA,13,1678502736.9,2023-03-11T02:45:36Z,40.772598,-73.862167,120.9,ab0a73,N810MD,E170,EMBRAER ERJ-170-100,0
takeoff,LGA,13,1678502736.9,2023-03-11T02:45:36Z,40.772598,-73.862167,120.9,ab0a73,N810MD,E170,EMBRAER ERJ-170-100,0
landing,JFK,22R,1678503711.43,2023-03-11T03:01:51Z,40.623007,-73.786739,210.9,a71ded,N558JB,A320,AIRBUS A-320,0
takeoff,JFK,22R,1678503724.31,2023-03-11T03:02:04Z,40.622716,-73.786801,177.2,a71ded,N558JB,A320,AIRBUS A-320,0
landing,LGA,13,1678504435.22,2023-03-11T03:13:55Z,40.771835,-73.860569,123.8,a1f822,N226JQ,E75L,EMBRAER ERJ-170-200 (long wing),0
takeoff,LGA,13,1678504435.22,2023-03-11T03:13:55Z,40.771835,-73.860569,123.8,a1f822,N226JQ,E75L,EMBRAER ERJ-170-200 (long wing),0
landing,JFK,04L,1678504831.88,2023-03-11T03:20:31Z,40.622257,-73.78537,73.1,acf54f,N934JB,A321,AIRBUS A-321,0
takeoff,JFK,04L,1678504943.09,2023-03-11T03:22:23Z,40.623871,-73.784164,30.9,acf54f,N934JB,A321,AIRBUS A-321,0
landing,JFK,22R,1678505016.25,2023-03-11T03:23:36Z,40.623631,-73.786255,210.9,ace063,N929JB,A321,AIRBUS A-321,0
takeoff,JFK,22R,1678505156.07,2023-03-11T03:25:56Z,40.622705,-73.786739,174.4,ace063,N929JB,A321,AIRBUS A-321,0
landing,LGA,13,1678505338.53,2023-03-11T03:28:58Z,40.777748,-73.87355,81.6,a396fd,N330NB,A319,AIRBUS A-319,0
landing,LGA,04,1678505351.04,2023-03-11T03:29:11Z,40.771078,-73.881059,33.8,a781d7,N583JB,A320,AIRBUS A-320,0
landing,LGA,13,1678505415.88,2023-03-11T03:30:15Z,40.777737,-73.87352,84.4,c02e92,C-FRQN,E75S,EMBRAER ERJ-170-200 (short wing),0
takeoff,LGA,13,1678505415.88,2023-03-11T03:30:15Z,40.777737,-73.87352,84.4,c02e92,C-FRQN,E75S,EMBRAER ERJ-170-200 (short wing),0
takeoff,LGA,13,1678505544.09,2023-03-11T03:32:24Z,40.776672,-73.870438,120.9,a781d7,N583JB,A320,AIRBUS A-320,0
landing,JFK,22R,1678505550.87,2023-03-11T03:32:30Z,40.622996,-73.786723,208.1,a98445,N712JB,A320,AIRBUS A-320,0
takeoff,JFK,22R,1678505560.71,2023-03-11T03:32:40Z,40.622726,-73.786774,180.0,a98445,N712JB,A320,AIRBUS A-320,0
takeoff,LGA,13,1678505625.58,2023-03-11T03:33:45Z,40.77198,-73.860992,140.6,a396fd,N330NB,A319,AIRBUS A-319,0
landing,JFK,22R,1678505625.8,2023-03-11T03:33:45Z,40.6248,-73.785335,210.9,a37616,N322DN,A321,AIRBUS A-321,0
takeoff,JFK,22R,1678505779.81,2023-03-11T03:36:19Z,40.622704,-73.786682,171.6,a37616,N322DN,A321,AIRBUS A-321,0
landing,LGA,13,1678505900.4,2023-03-11T03:38:20Z,40.772603,-73.862176,120.9,a3ff26,N357DN,A321,AIRBUS A-321,0
takeoff,LGA,13,1678505981.23,2023-03-11T03:39:41Z,40.77088,-73.859118,160.3,a3ff26,N357DN,A321,AIRBUS A-321,0
landing,LGA,13,1678506768.15,2023-03-11T03:52:48Z,40.777735,-73.873444,84.4,a2348d,N241JQ,E75L,EMBRAER ERJ-170-200 (long wing),0
takeoff,LGA,13,1678506768.15,2023-03-11T03:52:48Z,40.777735,-73.873444,84.4,a2348d,N241JQ,E75L,EMBRAER ERJ-170-200 (long wing),0
landing,JFK,22R,1678506982.48,2023-03-11T03:56:22Z,40.622772,-73.786774,180.0,aac7ab,N794JB,A320,AIRBUS A-320,0
takeoff,JFK,22R,1678506984.43,2023-03-11T03:56:24Z,40.622728,-73.786755,171.6,aac7ab,N794JB,A320,AIRBUS A-320,0
landing,LGA,22,1678507370.69,2023-03-11T04:02:50Z,40.780254,-73.873489,210.9,ad73a9,N966NN,B738,BOEING 737-800,0
takeoff,LGA,22,1678507370.69,2023-03-11T04:02:50Z,40.780254,-73.873489,210.9,ad73a9,N966NN,B738,BOEING 737-800,0
landing,LGA,22,1678507606.71,2023-03-11T04:06:46Z,40.780346,-73.873611,210.9,abefdd,N8687A,B738,BOEING 737-800,0
takeoff,LGA,22,1678507607.19,2023-03-11T04:06:47Z,40.780312,-73.873642,210.9,abefdd,N8687A,B738,BOEING 737-800,0
landing,LGA,22,1678507808.43,2023-03-11T04:10:08Z,40.780307,-73.873412,210.9,ab3f49,N82366,E75L,EMBRAER ERJ-170-200 (long wing),0
takeoff,LGA,22,1678507808.43,2023-03-11T04:10:08Z,40.780307,-73.873412,210.9,ab3f49,N82366,E75L,EMBRAER ERJ-170-200 (long wing),0
takeoff,JFK,22R,1678507829.84,2023-03-11T04:10:29Z,40.622647,-73.786645,168.8,461f0e,OH-LTU,A333,AIRBUS A-330-300,0
landing,JFK,04L,1678508126.72,2023-03-11T04:15:26Z,40.62228,-73.785324,67.5,a869bc,N641JB,A320,AIRBUS A-320,0
takeoff,JFK,04L,1678508128.26,2023-03-11T04:15:28Z,40.622321,-73.785303,53.4,a869bc,N641JB,A320,AIRBUS A-320,0
takeoff,JFK,22R,1678508191.39,2023-03-11T04:16:31Z,40.622772,-73.786697,174.4,a96412,N704GT,B77L,BOEING 777-200LR,0
